Dataset,MajorityClass,Forest,Bareland,Wetland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Cropland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Grassland,205,38,8,36,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Non_Wetland,4,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Cropland,27,3,0,13,0,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Wetland,160,6,0,3,63,211,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Bareland,79,0,7,20,15,127,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Built-up,100,54,1,0,13,191,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Water,423,64,151,4,0,311,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Forest,0,27,44,43,42,408,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Shrubland,16,3,3,3,2,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MWR_M_R,Permanent_ice_and_snow,2,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Non_Wetland,1,0,6,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Grassland,83,107,100,83,40,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Bareland,39,0,24,29,34,109,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Built-up,28,73,30,0,3,44,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Water,106,56,225,45,0,226,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Forest,0,169,382,84,194,385,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Shrubland,4,4,13,4,7,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Wetland,36,17,0,5,181,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Cropland,16,9,10,14,0,29,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MWR_M_R,Permanent_ice_and_snow,0,0,1,0,0,3,0,0,0,0,0,0
