Dataset,MajorityClass,Shrubland,Built-up,Forest,Cropland,Grassland,Wetland,Water,Bareland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNJ_M_R,Grassland,26,1,13,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNJ_M_R,Forest,96,1,0,30,59,118,80,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNJ_M_R,Bareland,26,0,28,15,10,2,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNJ_M_R,Wetland,2,0,15,0,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNJ_M_R,Water,48,1,184,5,14,165,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R,Grassland,0,0,13,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R,Shrubland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R,Bareland,0,0,23,0,26,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R,Forest,0,0,0,0,105,0,105,34,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R,Wetland,0,0,95,0,5,0,43,6,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNJ_M_R,Water,0,0,302,0,42,2,0,51,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,Grassland,0,0,0,0,0,0,0,0,22,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,Forest,0,0,0,0,0,118,80,0,271,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,Wetland,0,0,0,0,0,0,3,0,22,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,Bareland,0,0,0,0,0,2,1,0,11,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNJ_M_R,Water,0,0,0,0,0,165,0,0,101,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,Shrubland,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,Forest,0,0,0,0,240,91,131,69,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,Grassland,0,0,1,0,0,1,1,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,Bareland,0,0,0,0,29,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,Wetland,0,0,18,0,17,0,45,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNJ_M_R,Water,0,0,83,0,150,65,0,35,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,Shrubland,0,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,Grassland,0,0,14,0,0,16,1,21,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,Forest,0,0,0,0,33,196,142,208,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,Wetland,0,0,5,0,0,0,47,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,Water,0,0,111,0,2,167,0,159,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNJ_M_R,Bareland,0,0,3,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNJ_M_R,Bareland,0,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNJ_M_R,Wetland,0,0,0,0,0,0,28,0,0,17,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNJ_M_R,Grassland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNJ_M_R,Forest,0,0,0,0,0,0,136,0,0,75,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNJ_M_R,Water,0,0,0,0,0,0,0,0,0,109,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNJ_M_R,Grassland,0,18,8,0,0,5,11,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNJ_M_R,Bareland,0,14,3,0,0,10,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNJ_M_R,Water,0,2,52,0,0,121,0,12,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNJ_M_R,Forest,0,17,0,0,0,114,212,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNJ_M_R,Wetland,0,1,14,0,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNJ_M_R,Forest,0,0,0,5,6,2,48,15,0,0,1
