Dataset,MajorityClass,Grassland,Forest,Water,Wetland,Bareland,Non_Water,Shrubland,Built-up,Cropland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19MBU_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBU_M_R,Wetland,5,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBU_M_R,Bareland,0,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBU_M_R,Built-up,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBU_M_R,Forest,31,0,24,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MBU_M_R,Water,16,33,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBU_M_R,Wetland,0,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBU_M_R,Bareland,0,0,2,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBU_M_R,Water,0,0,0,0,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBU_M_R,Forest,0,0,30,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBU_M_R,Bareland,0,1,0,3,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBU_M_R,Built-up,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBU_M_R,Water,9,12,0,28,10,0,10,9,9,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBU_M_R,Forest,14,0,4,17,14,0,17,9,10,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBU_M_R,Wetland,0,1,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBU_M_R,Forest,0,0,33,3,1,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBU_M_R,Water,0,13,0,0,6,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBU_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBU_M_R,Water,0,0,0,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBU_M_R,Bareland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBU_M_R,Forest,0,0,4,17,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBU_M_R,Water,1,39,0,0,9,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBU_M_R,Forest,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBU_M_R,Wetland,0,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBU_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
