Dataset,MajorityClass,Grassland,Built-up,Forest,Wetland,Bareland,Cropland,Water,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R,Grassland,0,3,8,4,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R,Cropland,6,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R,Wetland,16,0,10,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R,Built-up,4,0,3,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R,Forest,34,2,0,8,0,1,8,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXG_M_R,Water,28,0,24,9,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXG_M_R,Grassland,0,0,0,6,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXG_M_R,Forest,0,0,0,19,0,0,7,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXG_M_R,Wetland,0,0,0,0,0,0,3,15,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXG_M_R,Water,0,0,0,22,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXG_M_R,Bareland,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXG_M_R,Grassland,0,0,0,0,0,0,8,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXG_M_R,Wetland,0,0,0,0,0,0,9,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXG_M_R,Forest,0,0,0,0,0,0,20,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXG_M_R,Bareland,0,0,0,0,0,0,1,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXG_M_R,Water,0,0,0,0,0,0,0,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,Cropland,3,0,2,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,Built-up,2,0,1,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,Water,18,0,14,22,0,1,0,0,0,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,Forest,23,1,0,19,0,4,7,0,0,17
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,Grassland,0,1,11,6,0,2,0,0,0,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,Wetland,3,0,7,0,0,0,3,0,0,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXG_M_R,Bareland,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXG_M_R,Grassland,0,5,7,1,0,11,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXG_M_R,Forest,0,5,0,5,0,8,15,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXG_M_R,Wetland,0,0,1,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXG_M_R,Bareland,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXG_M_R,Water,0,0,6,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXG_M_R,Wetland,6,0,12,0,1,0,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXG_M_R,Forest,5,0,0,1,1,3,9,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXG_M_R,Grassland,0,0,6,4,2,2,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXG_M_R,Water,0,0,20,1,5,0,0,0,0,0
