Dataset,MajorityClass,Forest,Built-up,Bareland,Wetland,Water,Grassland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Grassland,245,75,62,17,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Non_Wetland,5,0,0,1,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Forest,0,54,61,8,94,578,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Wetland,273,22,85,0,144,575,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Bareland,274,49,0,7,136,390,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Built-up,87,0,25,0,2,134,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Water,497,7,189,72,0,526,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Shrubland,12,5,3,1,0,19,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MLT_M_R,Cropland,27,1,1,0,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Non_Wetland,1,0,2,5,1,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Grassland,131,38,307,134,40,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Wetland,101,5,437,0,134,313,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Bareland,36,27,0,14,44,82,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Built-up,25,0,73,2,3,99,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Water,169,7,607,219,0,355,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Forest,0,70,567,373,172,505,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Shrubland,4,2,9,3,2,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MLT_M_R,Cropland,10,0,9,19,3,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Grassland,0,0,0,108,21,0,0,0,553,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Wetland,0,0,0,0,14,0,0,0,262,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Bareland,0,0,0,127,47,0,0,0,302,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Forest,0,0,0,278,98,0,0,0,769,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Water,0,0,0,375,0,0,0,0,404,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Shrubland,0,0,0,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Built-up,0,0,0,16,0,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MLT_M_R,Cropland,0,0,0,1,0,0,0,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Non_Wetland,0,0,3,6,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Bareland,3,18,0,68,146,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Forest,0,86,551,417,227,476,31,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Grassland,64,61,370,251,111,0,39,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Water,78,0,480,356,0,96,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Shrubland,0,4,12,11,2,6,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Built-up,7,0,103,36,12,48,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Wetland,26,3,292,0,179,152,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MLT_M_R,Cropland,2,3,19,6,1,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,Bareland,0,0,0,0,218,0,0,0,0,37,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,Grassland,0,0,0,0,127,0,0,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,Forest,0,0,0,0,243,0,0,0,0,107,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,Wetland,0,0,0,0,167,0,0,0,0,115,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,Water,0,0,0,0,0,0,0,0,0,240,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MLT_M_R,Built-up,0,0,0,0,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLT_M_R,Grassland,191,67,102,108,21,0,4,201,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLT_M_R,Bareland,138,90,0,127,47,229,0,193,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLT_M_R,Forest,0,80,201,278,98,437,0,219,0,0,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MLT_M_R,Wetland,59,10,45,0,14,62,0,45,0,0,1,0
