Dataset,MajorityClass,Grassland,Forest,Water,Bareland,Wetland,Shrubland,Built-up,Non_Wetland,Cropland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Wetland,2,41,10,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Forest,28,0,35,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Built-up,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Water,9,83,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Grassland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Cropland,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NBH_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,Wetland,0,3,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,Built-up,0,4,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,Forest,3,0,37,0,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,Water,0,14,0,0,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBH_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBH_M_R,Built-up,1,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBH_M_R,Forest,8,0,11,0,63,33,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBH_M_R,Water,0,63,0,0,52,22,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBH_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBH_M_R,Cropland,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBH_M_R,Forest,0,0,100,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBH_M_R,Grassland,0,3,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBH_M_R,Wetland,0,8,41,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBH_M_R,Water,0,10,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBH_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBH_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBH_M_R,Forest,0,0,11,0,63,0,0,95,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBH_M_R,Water,0,0,0,0,52,0,0,53,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBH_M_R,Wetland,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBH_M_R,Water,0,31,0,0,62,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBH_M_R,Forest,1,0,15,0,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBH_M_R,Forest,10,0,60,12,2,0,0,0,16,27,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBH_M_R,Water,1,63,0,2,0,0,0,0,1,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBH_M_R,Wetland,0,23,14,0,0,0,0,0,2,8,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBH_M_R,Grassland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBH_M_R,Water,0,0,0,0,0,0,0,0,0,0,36
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBH_M_R,Wetland,0,0,3,0,0,0,0,0,0,0,10
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBH_M_R,Forest,0,0,18,0,0,0,0,0,0,0,33
