Dataset,MajorityClass,Grassland,Wetland,Water,Bareland,Forest,Cropland,Built-up,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Non_Wetland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Shrubland,4,4,3,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Grassland,0,17,5,21,7,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Wetland,25,0,42,40,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Bareland,5,5,1,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Built-up,11,1,0,13,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Water,29,54,0,52,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Forest,113,89,74,83,0,22,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBE_M_R,Cropland,10,3,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Non_Wetland,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Grassland,0,17,2,14,31,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Bareland,6,3,2,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Built-up,6,0,0,11,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Water,30,66,0,38,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Forest,86,102,68,88,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Shrubland,4,2,2,3,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Wetland,23,0,55,28,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBE_M_R,Cropland,7,0,0,1,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Wetland,0,0,7,0,0,0,0,84,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBE_M_R,Grassland,0,3,0,0,0,0,0,35,0,0,0
