Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Shrubland,203,65,38,91,22,12,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Grassland,0,173,57,228,41,22,31,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Non_Wetland,12,7,0,7,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Bareland,366,131,76,165,4,0,111,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Built-up,471,217,0,448,5,200,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Water,847,235,102,1117,268,321,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Forest,1222,430,304,0,234,130,464,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Cropland,1001,0,297,724,123,261,152,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Wetland,480,157,15,445,0,16,169,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Non_Water,2,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KHA_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Non_Wetland,1,0,1,4,15,2,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Shrubland,27,0,24,35,58,30,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Grassland,0,0,86,130,210,64,59,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Cropland,336,0,408,403,528,388,307,192,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Bareland,8,0,79,50,53,0,248,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Built-up,47,0,0,102,155,202,140,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Forest,313,0,300,0,1025,412,568,347,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Wetland,27,0,5,71,0,30,350,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Water,98,0,256,314,589,270,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Wetland,0,0,0,0,0,0,19,0,931,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Grassland,0,0,0,0,29,0,14,0,439,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Forest,0,0,0,0,328,0,148,0,2060,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Bareland,0,0,0,0,40,0,42,0,87,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Shrubland,0,0,0,0,0,0,0,0,116,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Cropland,0,0,0,0,51,0,39,0,958,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Water,0,0,0,0,430,0,0,0,1085,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHA_M_R,Built-up,0,0,0,0,34,0,28,0,292,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Grassland,0,41,31,90,155,103,31,97,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Non_Wetland,2,0,1,2,15,2,1,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Forest,332,179,202,0,950,767,340,431,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Wetland,26,20,2,105,0,199,300,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Shrubland,33,11,9,22,33,53,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Bareland,14,19,26,22,7,0,20,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Built-up,120,45,0,90,135,425,27,112,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Water,26,45,133,346,613,808,0,69,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Cropland,366,0,259,261,350,596,97,228,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHA_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Grassland,0,451,120,190,29,36,14,443,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Bareland,0,404,418,45,40,0,42,271,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHA_M_R,Built-up,4,402,0,123,34,35,28,337,0,23,0,0
