Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Grassland,0,6,1,6,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Cropland,4,0,3,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Wetland,12,0,3,10,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Bareland,6,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Water,39,6,22,53,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Forest,39,10,25,0,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKM_M_R,Permanent_ice_and_snow,5,2,1,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,Grassland,0,2,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,Forest,0,20,0,0,11,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,Water,0,37,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,Wetland,0,0,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,Grassland,0,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,Water,0,0,0,0,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,Forest,0,0,0,0,29,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,Bareland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,Wetland,0,0,0,0,6,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,Bareland,3,0,0,5,2,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,Water,29,37,9,39,0,3,0,0,23,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,Forest,26,20,13,0,11,11,0,0,30,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,Grassland,0,2,0,4,0,0,0,0,6,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,Cropland,1,0,0,3,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,Wetland,3,0,0,4,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKM_M_R,Permanent_ice_and_snow,1,0,1,5,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,Grassland,0,0,0,11,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,Wetland,0,0,2,6,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,Forest,0,4,2,0,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,Water,0,7,3,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,Bareland,0,0,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKM_M_R,Permanent_ice_and_snow,0,0,0,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,Wetland,5,0,1,11,5,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,Water,5,2,11,34,0,0,0,0,0,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,Forest,5,3,7,0,15,0,0,0,0,6,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,Grassland,0,1,2,3,2,0,0,0,0,2,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKM_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
