Dataset,MajorityClass,Forest,Wetland,Bareland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Grassland,265,8,43,32,41,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Non_Wetland,5,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Shrubland,42,0,4,0,2,2,59,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Bareland,171,0,0,4,12,45,194,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Built-up,54,0,13,0,0,0,72,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Water,365,15,128,0,0,0,230,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Forest,0,3,33,0,12,27,368,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Wetland,132,0,22,0,0,19,100,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDU_M_R,Cropland,61,0,6,0,10,0,74,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Non_Wetland,0,2,2,0,0,0,1,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Shrubland,6,3,15,0,2,0,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Grassland,94,57,209,0,50,16,0,113,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Bareland,8,4,0,0,1,5,56,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDU_M_R,Built-up,5,0,41,0,0,0,28,4,0,0,0
