Dataset,MajorityClass,Grassland,Wetland,Water,Forest,Cropland,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Shrubland,3,3,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Grassland,0,32,9,37,13,9,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Cropland,39,5,0,28,0,7,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Wetland,146,0,58,89,24,17,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Lichens_and_Mosses,2,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Bareland,20,7,0,7,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Built-up,11,1,0,10,3,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Water,111,66,0,99,8,31,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Forest,110,64,37,0,20,31,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LHD_M_R,Permanent_ice_and_snow,33,6,0,6,4,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Grassland,0,12,5,0,0,0,0,97,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Cropland,0,4,0,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Bareland,0,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Built-up,0,2,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Forest,0,35,18,0,0,0,0,160,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Wetland,0,0,17,0,0,0,0,223,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Water,0,48,0,0,0,0,0,108,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHD_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Shrubland,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Grassland,0,0,71,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Cropland,0,0,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Wetland,0,0,164,0,0,0,0,0,40,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Bareland,0,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Built-up,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Water,0,0,0,0,0,0,0,0,92,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Forest,0,0,121,0,0,0,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHD_M_R,Permanent_ice_and_snow,0,0,12,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHD_M_R,Water,40,48,0,58,17,57,22,0,0,44,0,0
