Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Water,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Shrubland,64,59,26,8,3,2,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Grassland,0,345,161,122,78,114,66,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Non_Wetland,7,7,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Water,363,391,222,8,196,0,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Forest,740,0,176,160,148,241,107,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Cropland,558,434,98,0,120,111,101,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Wetland,90,68,0,1,3,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Bareland,103,61,4,14,0,34,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KWS_M_R,Built-up,122,152,1,36,33,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Non_Wetland,5,3,13,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Shrubland,27,11,29,0,5,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Grassland,0,179,253,0,62,114,16,110,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Cropland,620,252,288,0,161,61,23,72,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Bareland,119,17,7,0,0,57,2,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Built-up,182,35,24,0,75,14,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Forest,711,0,543,0,201,337,39,309,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Water,451,222,108,0,73,0,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWS_M_R,Wetland,80,4,0,0,3,115,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWS_M_R,Shrubland,0,0,0,0,0,0,0,0,67,0,0
