,0
Water,14927
Forest,12068
Wetland,11384
Grassland,6754
Bareland,3875
Non_Wetland,3556
Built-up,2931
Non_Water,1303
Shrubland,769
Cropland,688
Lichens_and_Mosses,116
Permanent_ice_and_snow,2
