Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Shrubland,3,3,3,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Grassland,0,5,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Cropland,5,3,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Wetland,40,0,28,0,31,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Built-up,5,0,4,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Water,48,42,49,0,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Forest,41,31,23,8,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Bareland,6,5,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWF_M_R,Permanent_ice_and_snow,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Forest,0,25,0,0,0,11,53,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Wetland,0,0,0,0,0,11,47,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Water,0,34,0,0,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Bareland,0,1,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Grassland,0,3,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWF_M_R,Shrubland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWF_M_R,Wetland,0,0,0,0,0,62,0,23,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWF_M_R,Water,0,0,0,0,0,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWF_M_R,Forest,0,0,0,0,0,43,0,20,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWF_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Water,1,34,7,10,37,0,0,0,50,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Wetland,1,0,0,0,15,11,0,0,31,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Bareland,3,1,0,4,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Built-up,3,0,0,0,3,0,0,0,4,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Forest,8,25,5,12,0,11,0,0,53,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Grassland,0,3,0,0,4,0,0,0,9,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Cropland,0,0,0,0,3,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,Water,0,46,13,0,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,Forest,0,27,1,11,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,Grassland,0,0,1,4,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,Wetland,0,0,6,1,11,22,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,Built-up,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,Cropland,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWF_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWF_M_R,Wetland,4,0,3,0,42,30,0,0,0,3,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWF_M_R,Forest,6,2,4,0,0,14,0,0,0,8,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWF_M_R,Grassland,0,0,0,0,2,0,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWF_M_R,Water,0,22,9,0,59,0,0,0,0,1,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWF_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
