Dataset,MajorityClass,Grassland,Wetland,Forest,Bareland,Built-up,Water,Shrubland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Non_Wetland,3,10,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Grassland,0,140,87,80,20,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Cropland,386,169,234,128,107,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Wetland,25,0,3,1,0,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Bareland,93,21,39,0,19,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Water,154,317,66,14,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Forest,483,561,0,115,49,79,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Shrubland,12,12,9,4,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,Built-up,47,16,32,47,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Non_Wetland,5,1,6,0,1,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Grassland,0,8,185,46,29,0,0,115,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Cropland,374,3,301,114,113,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Wetland,141,0,154,4,3,47,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Bareland,110,0,63,0,21,0,0,58,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Built-up,117,0,86,40,0,0,0,70,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Water,335,81,365,72,6,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Forest,531,25,0,68,113,32,0,198,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Shrubland,16,0,19,3,8,1,0,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYG_M_R,Non_Wetland,3,6,1,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYG_M_R,Wetland,56,0,3,14,0,127,0,3,0,0,0,0
