Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Bareland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Shrubland,313,60,180,64,39,46,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Grassland,0,146,226,42,58,14,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Non_Wetland,10,2,9,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Bareland,245,71,137,92,0,6,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Forest,949,278,0,129,129,105,183,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Cropland,763,0,473,182,178,20,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Wetland,266,1,197,3,7,0,95,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Built-up,364,120,256,0,99,5,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Water,748,48,594,20,180,234,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Lichens_and_Mosses,3,1,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R,Permanent_ice_and_snow,1,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Non_Wetland,4,0,2,0,1,14,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Shrubland,112,0,34,26,43,62,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Grassland,0,0,123,36,73,107,43,180,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Cropland,648,0,348,164,223,192,49,466,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Wetland,150,0,61,18,25,0,126,142,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Bareland,181,0,48,43,0,8,50,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Built-up,178,0,70,0,155,53,27,155,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Water,447,0,215,135,116,195,0,340,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Forest,816,0,0,192,313,548,266,874,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Non_Water,0,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Lichens_and_Mosses,1,0,0,0,0,0,1,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Non_Wetland,3,2,0,0,2,14,1,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Grassland,0,96,51,25,234,131,48,208,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Wetland,53,2,15,3,108,0,161,200,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Forest,707,231,0,92,895,656,304,936,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Non_Water,0,0,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Water,130,19,124,72,597,424,0,451,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Shrubland,89,17,23,19,117,48,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Bareland,84,44,3,15,0,23,0,44,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Built-up,206,72,23,0,346,71,5,142,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Cropland,557,0,98,145,607,153,31,331,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Lichens_and_Mosses,2,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,Permanent_ice_and_snow,1,0,0,0,3,0,0,0,0,0,0,0
