Dataset,MajorityClass,Forest,Bareland,Grassland,Wetland,Built-up,Water,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Grassland,83,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Cropland,14,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Water,233,36,133,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Shrubland,5,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Wetland,65,21,117,0,0,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Forest,0,11,107,2,2,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R,Bareland,13,0,10,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,Grassland,0,0,0,20,0,4,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,Water,0,0,0,216,0,0,120,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,Shrubland,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,Wetland,0,0,0,0,0,1,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,Forest,0,0,0,104,0,48,174,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,Bareland,0,0,0,4,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Grassland,30,27,0,41,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Cropland,0,10,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Water,54,11,49,197,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Forest,0,63,133,198,0,107,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Shrubland,0,2,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Wetland,3,4,13,0,0,59,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,Bareland,1,0,9,5,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Forest,0,2,280,14,0,120,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Grassland,6,7,0,10,0,16,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Shrubland,0,0,5,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Water,50,6,203,53,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Cropland,0,0,15,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Wetland,7,0,107,0,0,54,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,Bareland,0,0,16,3,0,4,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,Grassland,0,0,0,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
