Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Cropland,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Shrubland,3,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Grassland,0,1,1,2,6,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Cropland,27,9,11,11,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Wetland,27,16,0,30,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Bareland,43,0,3,39,44,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Built-up,11,5,0,6,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Water,101,83,5,0,109,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTC_M_R,Forest,69,45,18,44,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Shrubland,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Cropland,0,0,0,4,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Wetland,0,0,0,35,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Bareland,0,0,0,56,0,0,49,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Water,0,0,0,0,0,0,138,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Forest,0,0,0,76,0,0,57,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Built-up,0,0,0,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTC_M_R,Grassland,0,0,0,4,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,Water,38,34,8,0,65,50,0,91,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,Cropland,2,1,5,0,16,0,0,31,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,Bareland,24,0,2,14,35,22,0,49,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,Built-up,5,5,0,0,5,0,0,14,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,Forest,21,24,13,21,0,28,0,77,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,Grassland,0,0,0,1,5,5,0,14,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTC_M_R,Wetland,0,1,0,0,5,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,Grassland,0,3,9,3,6,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,Built-up,0,0,0,0,2,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,Water,0,80,14,0,53,23,0,0,6,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,Forest,0,14,19,45,0,22,0,0,12,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,Wetland,0,10,6,13,12,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,Bareland,0,0,6,39,22,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTC_M_R,Cropland,0,0,10,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,Water,0,0,0,0,0,50,0,0,0,19
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,Bareland,0,0,0,14,0,22,0,0,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,Forest,0,0,0,21,0,28,0,0,0,26
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,Grassland,0,0,0,1,0,5,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTC_M_R,Wetland,0,0,0,0,0,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,Water,12,64,0,0,63,13,0,0,25,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,Wetland,6,16,0,16,20,0,0,0,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,Built-up,2,3,0,0,5,0,0,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,Forest,7,26,0,23,0,4,0,0,18,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,Grassland,0,2,0,3,3,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTC_M_R,Bareland,0,0,0,17,11,0,0,0,0,0
