Dataset,MajorityClass,Grassland,Forest,Built-up,Cropland,Wetland,Bareland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Shrubland,70,50,9,8,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Grassland,0,105,7,46,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Bareland,60,27,3,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Non_Wetland,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Cropland,110,90,10,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Wetland,53,54,0,0,0,1,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Water,27,108,0,0,31,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Forest,318,0,45,45,27,26,50,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Built-up,23,9,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTG_M_R,Permanent_ice_and_snow,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Shrubland,27,17,0,0,16,13,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Non_Wetland,0,1,0,0,3,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Grassland,0,57,0,0,10,42,1,56,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Cropland,146,41,0,0,1,31,0,98,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Wetland,6,25,0,0,0,1,54,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Bareland,34,7,0,0,0,0,6,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Water,7,87,0,0,16,1,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Forest,265,0,0,0,96,132,104,337,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Built-up,10,8,0,0,0,24,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTG_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Grassland,0,14,0,12,1,103,2,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Non_Wetland,0,0,0,0,3,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Forest,294,0,0,29,100,375,79,305,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Shrubland,32,5,0,1,9,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Wetland,33,13,0,1,0,6,19,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Cropland,136,4,0,0,0,148,0,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Lichens_and_Mosses,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Built-up,16,0,0,0,0,48,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Water,6,63,0,0,27,42,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Bareland,3,0,0,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTG_M_R,Permanent_ice_and_snow,0,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,Grassland,0,0,0,0,8,0,4,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,Wetland,0,0,0,0,0,0,1,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,Forest,0,0,0,0,200,0,61,0,158,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,Shrubland,0,0,0,0,0,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,Water,0,0,0,0,88,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTG_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Grassland,0,82,15,124,8,4,4,153,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Forest,18,0,72,219,200,48,61,298,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Wetland,0,12,0,0,0,1,1,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Bareland,0,17,38,49,0,0,2,52,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Water,7,35,0,1,88,24,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Shrubland,0,5,4,8,0,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Cropland,1,36,1,0,0,0,0,107,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Built-up,0,3,0,19,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTG_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTG_M_R,Shrubland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTG_M_R,Wetland,0,0,0,0,0,0,29,0,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTG_M_R,Water,0,0,0,0,0,0,0,0,0,0,82,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTG_M_R,Forest,0,0,0,0,0,0,47,0,0,0,67,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTG_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Grassland,0,42,32,186,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Forest,0,0,107,161,20,1,122,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Shrubland,0,27,25,30,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Bareland,0,12,18,35,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Wetland,0,27,1,3,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Water,0,28,0,0,13,0,0,0,0,0,0,3
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTG_M_R,Cropland,0,15,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Forest,48,0,0,44,0,23,13,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Shrubland,14,68,0,21,0,4,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Wetland,11,103,0,1,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Bareland,5,19,0,6,0,0,0,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Cropland,19,59,0,0,0,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Grassland,0,66,0,31,0,37,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Built-up,0,11,0,1,0,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTG_M_R,Water,0,139,0,0,0,6,0,0,0,0,0,6
