Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Grassland,202,61,9,34,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Shrubland,43,2,0,8,0,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Non_Wetland,6,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Cropland,150,0,11,52,0,250,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Wetland,50,0,1,1,14,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Bareland,50,10,0,44,3,159,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Built-up,56,7,9,0,2,112,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Forest,0,16,6,29,44,396,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Lichens_and_Mosses,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Water,263,0,14,0,0,215,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXL_M_R,Permanent_ice_and_snow,0,0,2,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Shrubland,12,0,18,1,1,18,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Non_Wetland,2,0,2,0,0,2,7,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Grassland,79,0,97,11,13,0,41,174,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Cropland,61,0,56,4,0,232,7,156,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Bareland,7,0,0,5,4,106,5,31,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Built-up,9,0,68,0,0,34,0,38,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Forest,0,0,152,8,60,407,257,322,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Wetland,2,0,4,0,19,31,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Lichens_and_Mosses,0,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Water,66,0,32,1,0,200,125,73,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXL_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Grassland,23,75,206,22,10,0,45,104,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Non_Wetland,0,0,3,0,0,1,9,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Forest,0,27,347,25,126,384,205,326,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Wetland,1,0,19,0,13,28,0,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Shrubland,0,8,29,0,2,24,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Cropland,4,0,167,4,1,192,9,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Water,17,0,145,0,0,102,56,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Lichens_and_Mosses,0,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Built-up,0,6,89,0,1,38,4,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Bareland,0,13,0,7,4,21,2,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXL_M_R,Permanent_ice_and_snow,0,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Grassland,0,0,0,0,8,0,42,0,83,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Wetland,0,0,0,0,1,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Forest,0,0,0,0,20,0,165,0,388,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Shrubland,0,0,0,0,0,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Cropland,0,0,0,0,1,0,2,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Water,0,0,0,0,0,0,126,0,108,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Bareland,0,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXL_M_R,Built-up,0,0,0,0,0,0,1,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXL_M_R,Grassland,0,0,0,0,11,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXL_M_R,Wetland,0,0,0,0,11,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXL_M_R,Bareland,0,0,0,0,3,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXL_M_R,Water,0,0,0,0,0,0,0,0,0,100,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXL_M_R,Forest,0,0,0,0,50,0,0,0,0,40,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXL_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Grassland,122,168,82,88,8,0,42,160,0,0,67,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Forest,0,145,237,63,20,95,165,231,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Wetland,3,1,6,0,1,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXL_M_R,Bareland,13,65,0,56,0,1,0,52,0,0,13,0
