Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Cropland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Grassland,276,8,39,30,27,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Non_Wetland,5,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Bareland,299,1,22,0,3,120,391,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Shrubland,44,0,3,2,0,1,55,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Wetland,271,0,0,39,0,150,256,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Built-up,61,0,0,12,0,0,80,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Water,585,14,4,123,0,0,344,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Forest,0,6,4,23,0,69,401,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCU_M_R,Cropland,51,0,11,5,0,0,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCU_M_R,Non_Wetland,0,4,0,1,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCU_M_R,Shrubland,9,9,4,18,0,2,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCU_M_R,Grassland,90,90,19,313,0,31,0,82,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCU_M_R,Bareland,14,22,1,0,0,30,55,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCU_M_R,Built-up,6,4,0,87,0,2,29,5,0,0,0
