Dataset,MajorityClass,Grassland,Bareland,Forest,Water,Wetland,Non_Water,Shrubland,Cropland,Built-up,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Shrubland,3,1,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Wetland,19,21,16,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Water,28,36,31,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Forest,20,8,0,11,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Bareland,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Cropland,3,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NWE_M_R,Permanent_ice_and_snow,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,Shrubland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,Wetland,0,0,0,25,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,Water,0,0,0,0,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWE_M_R,Forest,0,0,0,17,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,Water,0,6,9,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,Wetland,0,4,1,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWE_M_R,Forest,0,1,0,19,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,Bareland,0,0,0,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,Water,0,0,18,0,31,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,Forest,1,4,0,8,21,0,22,2,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,Cropland,0,0,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,Wetland,0,0,1,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWE_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWE_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWE_M_R,Water,0,0,0,0,31,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWE_M_R,Forest,0,0,0,8,21,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWE_M_R,Wetland,0,0,0,1,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWE_M_R,Forest,2,2,0,9,3,0,0,6,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWE_M_R,Grassland,0,0,1,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWE_M_R,Water,0,0,39,0,15,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWE_M_R,Wetland,0,0,26,11,0,0,0,0,0,0,2
