Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Grassland,135,10,16,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Non_Wetland,3,0,0,2,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Wetland,475,0,263,282,714,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Bareland,29,3,0,27,84,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Forest,0,5,33,84,354,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Water,499,1,221,0,427,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Shrubland,18,4,10,4,22,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Cropland,20,0,8,1,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Built-up,21,0,9,2,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCA_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Grassland,0,0,0,2,0,34,224,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Wetland,0,0,0,9,0,0,431,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Forest,0,0,0,72,0,198,729,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Bareland,0,0,0,6,0,30,91,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Water,0,0,0,0,0,445,616,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Shrubland,0,0,0,0,0,0,34,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Cropland,0,0,0,0,0,8,41,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Built-up,0,0,0,0,0,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Grassland,64,0,66,27,0,124,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Non_Wetland,2,0,1,1,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Bareland,11,0,0,50,40,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Forest,0,0,85,316,317,534,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Water,82,0,12,0,168,476,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Shrubland,4,0,5,11,7,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Built-up,1,0,25,9,21,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Cropland,4,0,2,15,17,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Wetland,25,0,10,592,72,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCA_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Non_Wetland,0,0,4,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Forest,0,5,303,122,389,316,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Grassland,33,8,171,15,0,107,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Water,91,1,357,0,194,502,0,47,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Shrubland,0,2,22,3,11,16,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Cropland,2,0,30,1,16,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Wetland,43,0,304,192,238,0,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Bareland,0,0,0,1,11,23,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Built-up,0,0,29,5,8,18,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCA_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Grassland,0,0,0,64,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Wetland,0,0,0,623,0,0,0,0,250,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Shrubland,0,0,0,11,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Bareland,0,0,0,79,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Water,0,0,0,0,0,0,0,0,251,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Built-up,0,0,0,10,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Forest,0,0,0,261,0,0,0,0,109,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCA_M_R,Cropland,0,0,0,18,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Grassland,89,32,36,2,0,34,0,10,0,130,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Forest,0,57,153,72,195,198,0,11,0,242,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Wetland,40,109,29,9,45,0,0,0,0,175,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Water,145,179,112,0,103,445,0,0,0,332,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Bareland,12,39,0,6,25,30,0,0,0,78,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Built-up,3,0,0,0,7,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Cropland,10,13,2,0,5,8,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCA_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,Grassland,82,44,2,45,0,14,0,112,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCA_M_R,Wetland,67,15,46,302,0,0,0,186,0,0,0,0
