Dataset,MajorityClass,Wetland,Bareland,Water,Built-up,Forest,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Non_Wetland,4,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Shrubland,4,3,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Grassland,8,6,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Wetland,0,34,49,2,4,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Bareland,4,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Built-up,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Water,36,42,0,4,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Forest,65,61,50,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTV_M_R,Cropland,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Non_Wetland,2,1,1,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Bareland,5,0,24,0,7,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Built-up,0,4,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Water,57,14,0,0,39,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Shrubland,1,3,2,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Grassland,1,2,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Wetland,0,16,54,0,14,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Forest,62,26,54,0,0,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTV_M_R,Cropland,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Wetland,0,0,6,0,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Shrubland,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Bareland,7,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Built-up,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Water,32,0,0,0,0,0,41,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Forest,30,0,15,0,0,0,122,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Grassland,1,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTV_M_R,Cropland,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTV_M_R,Wetland,0,18,6,0,1,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTV_M_R,Bareland,7,0,0,5,1,2,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTV_M_R,Water,32,23,0,5,16,7,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTV_M_R,Forest,30,37,15,14,0,31,0,51,1,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTV_M_R,Grassland,1,2,0,0,2,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTV_M_R,Cropland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTV_M_R,Water,21,10,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTV_M_R,Wetland,0,14,32,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTV_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTV_M_R,Bareland,3,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTV_M_R,Forest,19,2,59,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTV_M_R,Wetland,0,10,17,0,76,15,0,0,5,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTV_M_R,Bareland,1,0,2,0,17,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTV_M_R,Water,15,6,0,0,68,10,0,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTV_M_R,Forest,0,0,1,0,0,1,0,0,0,0
