Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Lichens_and_Mosses,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Shrubland,3,2,1,3,1,2,1,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Grassland,0,13,4,12,11,6,0,30,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Cropland,82,0,3,63,17,37,0,70,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Wetland,51,14,0,44,0,41,0,30,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Lichens_and_Mosses,2,0,0,2,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Bareland,86,15,0,0,7,48,11,77,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Built-up,27,10,1,27,0,17,0,27,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Water,148,37,13,143,17,0,20,141,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Forest,111,55,6,98,37,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18LWN_M_R,Permanent_ice_and_snow,17,3,0,16,1,3,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Shrubland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Grassland,0,0,4,0,0,1,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Forest,0,0,38,0,0,14,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Cropland,0,0,8,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Wetland,0,0,0,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Bareland,0,0,32,0,0,13,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Built-up,0,0,4,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Water,0,0,62,0,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LWN_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Grassland,0,0,0,0,0,23,0,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Cropland,0,0,0,0,0,47,0,0,0,0,33,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Wetland,0,0,0,0,0,52,0,0,0,0,35,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Bareland,0,0,0,0,0,94,0,0,0,0,50,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Built-up,0,0,0,0,0,30,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Water,0,0,0,0,0,0,0,0,0,0,169,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Forest,0,0,0,0,0,114,0,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LWN_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Water,84,45,62,62,57,0,6,82,16,0,0,123
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Cropland,48,0,8,24,38,0,0,51,3,0,0,50
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Wetland,1,0,0,1,2,0,0,3,0,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Bareland,42,28,32,0,43,13,6,48,10,0,0,69
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LWN_M_R,Built-up,16,11,4,11,0,1,0,16,4,0,0,18
