Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Shrubland,238,25,53,36,10,54,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Grassland,0,11,16,71,38,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Bareland,826,0,97,149,55,324,74,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Non_Wetland,0,0,0,0,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Built-up,522,107,0,153,57,30,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Water,1555,767,120,197,76,795,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Forest,1159,76,234,0,82,349,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Cropland,613,107,84,170,0,91,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Non_Water,6,3,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Wetland,1169,217,36,352,82,0,111,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MXA_M_R,Permanent_ice_and_snow,25,1,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Non_Wetland,0,8,3,2,0,0,7,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Shrubland,10,51,23,15,0,1,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Grassland,0,180,74,41,0,0,80,118,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Cropland,214,223,176,75,0,1,97,116,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Bareland,75,0,203,41,0,14,580,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Built-up,32,134,0,55,0,2,103,102,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Water,38,524,256,85,0,18,0,262,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Forest,242,671,351,0,0,23,288,647,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Non_Water,1,1,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Wetland,23,690,100,290,0,0,985,449,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MXA_M_R,Permanent_ice_and_snow,0,9,2,1,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MXA_M_R,Non_Wetland,9,2,0,4,1,0,1,7,0,0,0
