Dataset,MajorityClass,Wetland,Bareland,Forest,Built-up,Water,Grassland,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Non_Wetland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Grassland,43,23,23,11,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Forest,334,57,0,18,250,105,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Shrubland,0,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Cropland,1,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Wetland,0,9,7,0,203,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Built-up,3,41,9,0,14,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Water,293,12,40,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGU_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Non_Wetland,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Wetland,0,0,235,0,92,205,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Shrubland,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Water,44,6,294,0,0,245,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Grassland,0,0,48,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Cropland,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Built-up,0,7,71,0,1,43,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Forest,7,3,0,3,55,166,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGU_M_R,Bareland,0,0,7,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Wetland,0,0,0,0,22,0,195,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Forest,111,0,0,0,58,0,595,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Grassland,5,0,0,0,2,0,134,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Water,166,0,0,0,0,0,287,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Built-up,2,0,0,0,4,0,36,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGU_M_R,Bareland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Forest,430,44,0,6,106,122,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Shrubland,1,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Grassland,106,6,0,1,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Built-up,33,40,0,0,2,35,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Water,327,19,43,12,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Wetland,0,4,11,0,109,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Bareland,2,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGU_M_R,Cropland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGU_M_R,Grassland,5,15,43,30,2,0,0,25,7,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGU_M_R,Built-up,2,5,24,0,4,17,0,22,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGU_M_R,Water,166,127,95,30,0,80,0,39,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGU_M_R,Forest,111,134,0,63,58,124,0,70,28,9,0
