Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Grassland,Water,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Grassland,62,3,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Non_Wetland,5,0,0,1,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Wetland,218,0,0,0,312,93,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Bareland,42,0,0,0,95,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Water,419,6,1,252,516,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Shrubland,13,0,1,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Built-up,88,3,0,1,110,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Cropland,35,2,0,0,30,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQC_M_R,Forest,0,13,17,53,434,96,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Non_Wetland,1,1,0,7,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Grassland,31,34,0,57,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Bareland,23,0,0,20,23,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Forest,0,144,14,535,258,374,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Wetland,35,17,0,0,78,172,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Water,154,17,2,443,104,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Shrubland,4,1,0,5,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Cropland,4,2,0,3,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQC_M_R,Built-up,6,52,0,41,34,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Grassland,0,0,0,5,0,0,118,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Wetland,0,0,0,0,0,30,252,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Forest,0,0,0,182,0,78,901,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Water,0,0,0,206,0,0,601,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Shrubland,0,0,0,0,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Bareland,0,0,0,2,0,1,36,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Built-up,0,0,0,4,0,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQC_M_R,Cropland,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Non_Wetland,0,2,0,5,1,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Forest,0,216,57,536,346,255,0,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Grassland,0,42,0,69,0,18,0,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Water,37,48,4,533,35,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Shrubland,0,9,0,7,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Cropland,0,9,1,0,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Wetland,18,23,3,0,26,171,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Bareland,1,0,0,19,18,8,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQC_M_R,Built-up,2,54,0,30,31,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,Grassland,0,0,0,0,0,27,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,Wetland,0,0,0,0,0,250,0,0,117,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,Bareland,0,0,0,0,0,29,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,Forest,0,0,0,0,0,285,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,Water,0,0,0,0,0,0,0,0,238,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQC_M_R,Built-up,0,0,0,0,0,17,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,Grassland,48,29,42,5,0,0,0,18,0,114,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,Forest,0,191,99,182,147,78,0,30,0,262,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,Wetland,48,62,12,0,34,30,0,1,0,24,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,Bareland,16,0,15,2,3,1,0,0,0,30,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,Built-up,30,18,0,4,3,0,0,1,0,61,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,Water,228,188,57,206,162,0,0,0,0,88,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQC_M_R,Cropland,9,2,6,0,2,0,0,0,0,18,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,Grassland,34,2,58,5,0,13,0,46,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,Forest,0,6,168,165,0,276,0,36,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQC_M_R,Water,128,73,39,228,0,0,0,0,0,0,0,0
