Dataset,MajorityClass,Forest,Bareland,Wetland,Water,Grassland,Shrubland,Built-up,Cropland,Lichens_and_Mosses,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVA_M_R,Shrubland,3,4,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVA_M_R,Grassland,2,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVA_M_R,Water,71,0,135,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVA_M_R,Wetland,5,0,0,91,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVA_M_R,Forest,0,13,149,88,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVA_M_R,Shrubland,2,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVA_M_R,Water,125,38,35,0,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVA_M_R,Wetland,73,12,0,54,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVA_M_R,Forest,0,3,4,57,60,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVA_M_R,Grassland,0,0,0,0,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVA_M_R,Forest,0,29,66,33,10,72,10,2,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVA_M_R,Water,85,23,104,0,11,77,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVA_M_R,Wetland,8,0,0,9,0,39,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVA_M_R,Grassland,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVA_M_R,Shrubland,0,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVA_M_R,Forest,0,0,66,33,0,0,0,0,0,190,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVA_M_R,Water,0,0,104,0,0,0,0,0,0,128,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVA_M_R,Wetland,0,0,0,9,0,0,0,0,0,51,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVA_M_R,Shrubland,0,0,3,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVA_M_R,Forest,0,0,61,130,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVA_M_R,Wetland,5,0,0,93,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVA_M_R,Water,15,0,74,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVA_M_R,Wetland,0,0,0,73,0,0,0,0,0,0,28
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVA_M_R,Water,0,0,0,0,0,0,0,0,0,0,77
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVA_M_R,Forest,0,0,0,77,0,0,0,0,0,0,43
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVA_M_R,Water,29,22,120,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVA_M_R,Wetland,16,2,0,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVA_M_R,Forest,0,1,55,116,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVA_M_R,Grassland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVA_M_R,Forest,0,4,0,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVA_M_R,Water,204,0,44,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVA_M_R,Wetland,107,0,0,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVA_M_R,Grassland,1,0,0,0,0,0,0,0,0,0,0
