Dataset,MajorityClass,Cropland,Built-up,Forest,Bareland,Wetland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Grassland,182,38,187,32,19,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Non_Wetland,3,1,7,1,0,2,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Bareland,13,13,21,0,0,36,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Built-up,29,0,51,37,0,12,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Water,53,20,286,138,67,0,332,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Forest,137,46,0,65,33,124,328,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Cropland,0,75,147,87,9,77,250,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Wetland,80,21,268,82,0,190,422,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Shrubland,18,7,23,0,2,1,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Lichens_and_Mosses,1,0,0,1,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KBV_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Non_Wetland,0,0,2,0,15,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Grassland,0,34,70,51,256,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Cropland,0,77,61,122,184,43,164,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Wetland,0,5,45,42,0,178,77,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Bareland,0,22,5,0,24,53,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Built-up,0,0,6,42,17,19,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Water,0,42,111,44,363,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Forest,0,42,0,74,345,147,179,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Shrubland,0,6,6,11,18,4,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KBV_M_R,Lichens_and_Mosses,0,2,0,1,1,0,0,0,0,0,0,0
