Dataset,MajorityClass,Forest,Wetland,Water,Grassland,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Grassland,32,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Non_Wetland,5,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Wetland,290,0,61,411,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Water,192,107,0,287,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Shrubland,1,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Bareland,7,1,0,25,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Forest,0,3,23,160,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Built-up,23,0,1,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLC_M_R,Cropland,3,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Non_Wetland,0,3,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Grassland,7,121,43,0,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Water,15,280,0,1,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Shrubland,0,3,1,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Wetland,7,0,292,18,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Bareland,0,5,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Forest,0,371,196,76,40,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Built-up,0,18,6,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLC_M_R,Cropland,0,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Grassland,0,7,3,0,0,0,169,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Wetland,0,0,21,0,0,0,322,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Water,0,183,0,0,0,0,253,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Bareland,0,0,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Forest,0,88,26,0,0,0,521,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Built-up,0,0,0,0,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLC_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Forest,0,291,153,130,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Non_Wetland,0,5,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Water,10,239,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Grassland,0,92,59,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Shrubland,0,3,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Wetland,11,0,264,27,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Bareland,0,10,7,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Built-up,1,20,5,19,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLC_M_R,Cropland,0,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,Wetland,0,0,236,0,0,0,0,176,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,Water,0,0,0,0,0,0,0,167,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,Bareland,0,0,4,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,Built-up,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,Grassland,0,0,28,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLC_M_R,Forest,0,0,89,0,0,0,0,53,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,Grassland,47,7,3,0,29,12,0,0,48,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,Wetland,62,0,21,40,81,16,0,0,47,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,Water,85,183,0,60,100,16,0,0,37,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,Forest,0,88,26,63,98,27,0,0,87,10,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,Bareland,4,0,0,0,0,0,0,0,8,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,Built-up,3,0,0,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MLC_M_R,Cropland,0,0,0,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,Grassland,22,36,8,0,1,24,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,Water,68,142,0,0,13,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,Forest,0,87,115,0,12,48,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,Wetland,109,0,100,0,22,30,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MLC_M_R,Bareland,0,0,0,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,Wetland,311,0,86,152,0,0,0,0,0,41,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,Forest,0,1,4,24,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,Water,293,30,0,70,3,0,0,0,0,10,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,Bareland,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,Grassland,32,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MLC_M_R,Built-up,1,0,0,0,0,0,0,0,0,0,0
