Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Forest,Non_Wetland,Non_Water,Shrubland
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Shrubland,3,2,3,2,2,2,1,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Grassland,0,22,8,19,15,6,1,28,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Cropland,47,0,4,30,22,5,0,40,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Wetland,18,5,0,18,0,16,0,16,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Bareland,58,26,0,0,15,29,8,50,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Built-up,19,11,0,15,0,2,0,17,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Water,136,54,27,113,17,0,10,119,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Permanent_ice_and_snow,23,6,0,15,0,2,0,13,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R,Forest,83,43,9,58,25,21,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Grassland,0,0,4,0,0,2,0,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Forest,0,0,16,0,0,16,0,0,28,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Cropland,0,0,1,0,0,8,0,0,7,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Wetland,0,0,0,0,0,0,0,0,23,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Bareland,0,0,12,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Built-up,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Water,0,0,61,0,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Shrubland,0,0,0,0,0,4,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Cropland,0,0,0,0,0,14,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Wetland,0,0,0,0,0,24,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Bareland,0,0,0,0,0,52,0,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Water,0,0,0,0,0,0,0,0,0,95,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Forest,0,0,0,0,0,68,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Grassland,0,0,0,0,0,20,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Built-up,0,0,0,0,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Water,39,61,61,48,11,0,16,75,0,0,131
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Cropland,24,0,1,26,20,8,0,29,0,0,65
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Wetland,0,3,0,1,0,0,0,4,0,0,14
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Bareland,28,37,12,0,23,11,12,39,0,0,64
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Built-up,9,13,1,11,0,1,0,11,0,0,19
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Forest,38,48,16,40,23,16,13,0,0,0,95
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Grassland,0,21,4,16,10,2,0,30,0,0,57
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R,Permanent_ice_and_snow,6,10,0,7,2,0,0,9,0,0,22
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Grassland,0,34,9,9,34,25,0,28,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Bareland,0,22,0,0,40,34,0,21,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Built-up,0,4,0,2,0,2,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Water,0,30,20,77,65,0,0,43,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Forest,0,31,16,24,39,60,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Cropland,0,0,2,10,38,9,0,19,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Wetland,0,1,0,4,6,11,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R,Permanent_ice_and_snow,0,3,1,9,7,11,0,5,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQT_M_R,Water,31,12,2,51,0,0,28,66,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQT_M_R,Cropland,16,0,1,11,0,12,0,11,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQT_M_R,Wetland,8,1,0,4,0,14,2,11,0,0,0
