Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Shrubland,86,19,51,1,7,4,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Grassland,0,158,201,11,63,35,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Non_Wetland,9,2,6,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Bareland,79,33,33,0,46,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Built-up,320,147,244,89,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Forest,936,295,0,70,203,265,89,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Cropland,788,0,419,144,236,135,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Wetland,336,35,202,5,5,90,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFA_M_R,Water,630,84,505,67,62,0,108,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Non_Wetland,1,0,2,1,0,0,9,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Shrubland,13,0,13,6,9,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Grassland,0,0,103,48,68,56,184,28,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Cropland,307,0,281,251,258,126,337,54,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Built-up,44,0,91,137,0,43,85,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Forest,285,0,0,133,193,268,784,134,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFA_M_R,Bareland,0,0,2,0,29,18,6,0,0,0,0
