Dataset,MajorityClass,Grassland,Bareland,Forest,Cropland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Shrubland,122,19,89,35,23,16,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Grassland,0,127,295,220,63,96,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Non_Wetland,5,0,4,0,7,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Bareland,274,0,151,91,0,91,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Built-up,366,139,226,166,0,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Water,811,294,660,157,110,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Forest,907,237,0,282,160,185,174,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Cropland,576,234,365,0,23,192,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Non_Water,3,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Wetland,179,7,77,17,0,1,60,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KNS_M_R,Permanent_ice_and_snow,1,0,1,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNS_M_R,Non_Wetland,6,1,2,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNS_M_R,Shrubland,79,28,19,0,0,13,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNS_M_R,Grassland,0,129,104,0,0,106,208,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNS_M_R,Cropland,576,279,259,0,0,190,130,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNS_M_R,Wetland,102,7,11,0,0,0,162,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNS_M_R,Bareland,135,0,39,0,0,49,85,1,0,0,0,0
