Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Cropland,Water,Bareland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Shrubland,2,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Grassland,0,39,2,11,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Cropland,27,21,3,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Wetland,115,0,8,65,7,39,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Bareland,15,13,2,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Built-up,17,9,0,14,0,3,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Water,111,137,9,67,4,0,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Forest,75,73,7,0,2,14,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20PPR_M_R,Permanent_ice_and_snow,7,12,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Grassland,0,13,0,0,0,7,0,60,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Cropland,0,2,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Built-up,0,8,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Forest,0,41,0,0,0,18,0,90,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Wetland,0,0,0,0,0,19,0,112,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Bareland,0,2,0,0,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Water,0,64,0,0,0,0,0,65,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20PPR_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Shrubland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Grassland,0,0,0,0,0,27,0,0,8,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Cropland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Wetland,0,0,0,0,0,105,0,0,57,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Built-up,0,0,0,0,0,7,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Water,0,0,0,0,0,0,0,0,111,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Forest,0,0,0,0,0,47,0,0,28,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20PPR_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Cropland,7,2,4,15,0,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Wetland,20,0,2,37,29,19,0,0,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Bareland,5,2,3,7,5,0,0,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Built-up,4,8,0,8,8,0,3,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Water,22,77,30,56,24,0,7,0,0,42,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Forest,24,44,26,0,31,24,11,0,0,39,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Grassland,0,13,9,25,19,9,2,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20PPR_M_R,Permanent_ice_and_snow,2,0,0,5,6,0,0,0,0,8,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Grassland,0,20,24,37,14,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Wetland,0,0,33,93,26,67,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Built-up,0,1,0,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Water,0,51,37,71,6,0,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Forest,0,17,26,0,10,38,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Cropland,0,1,2,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Bareland,0,3,6,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20PPR_M_R,Permanent_ice_and_snow,0,0,3,5,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,Wetland,58,0,0,58,43,54,31,0,0,0,32
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,Built-up,4,0,0,4,2,6,8,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,Water,36,34,0,50,27,0,21,0,0,0,22
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,Forest,20,14,0,0,19,21,8,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,Grassland,0,7,0,8,3,6,3,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20PPR_M_R,Cropland,0,0,0,2,0,1,0,0,0,0,0
