Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Grassland,28,12,10,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Non_Wetland,2,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Wetland,138,0,0,2,233,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Water,224,91,6,5,164,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Shrubland,6,0,3,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Cropland,0,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Bareland,7,0,0,4,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Built-up,12,1,6,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MPV_M_R,Forest,0,16,36,64,209,62,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Grassland,39,87,6,0,0,7,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Non_Wetland,2,3,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Water,82,260,7,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Forest,0,385,17,0,163,154,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Shrubland,6,4,1,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Wetland,22,0,1,0,26,114,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Cropland,2,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Bareland,22,12,0,0,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPV_M_R,Built-up,10,20,10,0,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,Grassland,0,8,0,0,0,1,0,124,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,Wetland,0,0,0,0,0,19,0,189,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,Forest,0,110,0,0,0,39,0,535,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,Water,0,114,0,0,0,0,0,242,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,Shrubland,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,Bareland,0,0,0,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPV_M_R,Built-up,0,0,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Non_Wetland,0,4,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Forest,0,292,0,0,318,207,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Grassland,3,49,0,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Water,17,223,0,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Shrubland,0,4,0,0,12,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Wetland,5,0,0,0,54,135,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Bareland,0,6,0,0,36,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Cropland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPV_M_R,Built-up,0,2,0,0,48,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,Grassland,0,0,0,0,0,25,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,Wetland,0,0,0,0,0,160,0,0,84,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,Water,0,0,0,0,0,0,0,0,112,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,Forest,0,0,0,0,0,130,0,0,55,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPV_M_R,Bareland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,Forest,0,110,136,103,106,39,165,0,0,49,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,Grassland,25,8,32,38,0,1,74,0,0,15,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,Wetland,27,0,53,7,23,19,43,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,Bareland,2,0,0,23,2,0,8,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,Water,78,114,82,24,82,0,54,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPV_M_R,Built-up,1,0,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,Grassland,28,1,5,20,0,17,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,Forest,0,52,4,25,0,248,0,0,0,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,Wetland,59,0,0,12,0,78,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,Water,42,80,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,Built-up,1,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPV_M_R,Bareland,12,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,Wetland,304,0,1,0,36,74,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,Water,335,15,5,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,Forest,0,0,15,0,4,1,0,0,0,6,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,Grassland,91,0,18,0,0,2,0,0,0,10,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,Built-up,10,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPV_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
