Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Forest,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Shrubland,3,1,1,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Grassland,0,4,2,22,13,7,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Cropland,65,0,0,79,11,27,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Wetland,42,4,0,50,0,48,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Lichens_and_Mosses,1,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Bareland,100,16,4,0,22,57,92,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Built-up,23,10,0,19,0,12,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Water,146,30,20,150,25,0,126,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Forest,120,43,11,115,47,70,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R,Permanent_ice_and_snow,15,0,0,12,2,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Grassland,0,0,1,0,0,1,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Forest,0,0,30,0,0,13,0,0,66,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Wetland,0,0,0,0,0,0,0,0,53,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Water,0,0,58,0,0,0,0,0,48,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Bareland,0,0,33,0,0,13,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Cropland,0,0,4,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,Permanent_ice_and_snow,0,0,1,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Shrubland,0,0,0,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Grassland,0,0,0,0,0,20,0,0,0,15,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Cropland,0,0,0,0,0,52,0,0,0,24,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Wetland,0,0,0,0,0,52,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Bareland,0,0,0,0,0,123,0,0,0,57,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Built-up,0,0,0,0,0,19,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Water,0,0,0,0,0,0,0,0,0,172,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Forest,0,0,0,0,0,138,0,0,0,70,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFC_M_R,Water,69,43,58,55,31,0,112,0,0,0,148,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFC_M_R,Cropland,38,0,4,19,16,0,52,0,0,0,50,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFC_M_R,Wetland,1,3,0,2,0,0,14,0,0,0,22,0
