Dataset,MajorityClass,Forest,Bareland,Grassland,Wetland,Water,Shrubland,Non_Wetland,Built-up,Cropland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,Shrubland,3,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,Forest,0,12,18,80,63,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,Wetland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NVB_M_R,Water,49,0,0,70,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R,Shrubland,2,0,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R,Forest,0,6,41,0,57,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R,Wetland,13,4,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R,Water,87,20,30,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVB_M_R,Bareland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVB_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVB_M_R,Forest,0,0,0,62,30,0,78,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVB_M_R,Water,0,0,0,72,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVB_M_R,Wetland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,Shrubland,0,0,0,2,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,Forest,0,15,7,26,88,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,Grassland,2,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,Water,16,1,6,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,Wetland,0,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NVB_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,Forest,0,3,0,62,30,69,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,Grassland,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,Water,56,0,0,72,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,Wetland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVB_M_R,Bareland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVB_M_R,Water,34,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVB_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVB_M_R,Wetland,12,0,0,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVB_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVB_M_R,Forest,0,1,0,0,85,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVB_M_R,Forest,0,4,1,0,16,0,0,0,5,3,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVB_M_R,Grassland,0,1,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVB_M_R,Water,129,1,0,4,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVB_M_R,Wetland,17,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21NVB_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVB_M_R,Wetland,0,0,0,0,4,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVB_M_R,Water,0,0,0,0,0,0,0,0,0,0,57
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVB_M_R,Forest,0,0,0,0,51,0,0,0,0,0,45
