Dataset,MajorityClass,Grassland,Forest,Built-up,Bareland,Water,Non_Water,Shrubland,Cropland,Wetland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Shrubland,1,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Cropland,11,2,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Wetland,6,7,0,1,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Bareland,5,2,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Built-up,9,7,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Forest,39,0,5,1,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MVB_M_R,Water,16,40,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVB_M_R,Wetland,0,0,0,0,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVB_M_R,Forest,0,0,0,0,33,19,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVB_M_R,Built-up,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVB_M_R,Water,0,0,0,0,0,33,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVB_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVB_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVB_M_R,Bareland,0,0,0,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVB_M_R,Built-up,3,5,0,2,0,0,7,5,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVB_M_R,Water,4,12,4,12,0,0,16,13,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVB_M_R,Forest,14,0,11,17,7,0,24,18,19,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVB_M_R,Grassland,0,3,0,0,0,0,5,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVB_M_R,Cropland,0,2,3,4,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVB_M_R,Bareland,0,1,4,0,0,0,1,2,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVB_M_R,Water,0,12,12,6,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVB_M_R,Grassland,0,3,7,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVB_M_R,Wetland,0,0,2,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVB_M_R,Forest,0,0,19,5,24,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVB_M_R,Cropland,0,2,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVB_M_R,Bareland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVB_M_R,Water,0,0,0,0,0,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVB_M_R,Forest,0,0,0,0,7,0,0,0,19,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVB_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVB_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVB_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVB_M_R,Wetland,4,10,0,0,2,0,0,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVB_M_R,Forest,5,0,0,0,5,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVB_M_R,Water,2,32,0,17,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVB_M_R,Grassland,0,3,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVB_M_R,Built-up,0,4,0,0,0,0,0,0,0,0,0
