Dataset,MajorityClass,Grassland,Wetland,Water,Forest,Bareland,Built-up,Shrubland,Cropland,Non_Water,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Bareland,81,10,13,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Shrubland,12,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Cropland,28,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Built-up,43,0,0,13,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Wetland,22,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Forest,34,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MUC_M_R,Water,5,3,0,0,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Shrubland,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Grassland,0,0,1,0,28,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Cropland,0,0,0,0,10,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Wetland,0,0,1,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Built-up,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Forest,0,0,1,0,10,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Bareland,0,0,15,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUC_M_R,Water,0,0,0,1,45,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Grassland,0,2,0,8,3,2,5,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Bareland,1,12,9,5,0,17,8,47,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Built-up,10,0,0,2,5,0,4,37,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Water,0,26,0,3,20,8,7,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Cropland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Wetland,0,0,0,1,0,0,2,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUC_M_R,Forest,9,1,1,0,0,0,5,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUC_M_R,Grassland,0,0,0,2,8,2,24,0,0,0,0
