Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Grassland,200,10,47,42,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Non_Wetland,5,0,1,1,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Shrubland,22,3,3,5,0,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Wetland,104,0,11,0,11,123,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Bareland,38,0,0,3,0,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Built-up,60,0,11,0,0,80,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Water,342,46,63,1,0,229,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Forest,0,21,28,25,79,267,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Cropland,53,0,3,12,0,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRT_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Non_Wetland,2,6,1,0,1,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Shrubland,13,9,4,1,4,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Grassland,66,58,95,10,43,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Bareland,4,6,0,0,17,58,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Built-up,18,5,42,0,5,49,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Water,121,151,10,5,0,234,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Forest,0,298,56,14,131,497,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Wetland,33,0,5,0,50,100,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Cropland,10,1,30,2,1,59,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRT_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Grassland,15,95,117,39,26,0,48,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Non_Wetland,0,11,0,0,0,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Forest,0,250,111,10,194,481,132,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Wetland,14,0,5,0,56,99,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Shrubland,0,12,5,1,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Water,38,108,18,0,0,137,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Cropland,1,4,37,13,0,46,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Bareland,0,17,0,0,1,33,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MRT_M_R,Built-up,0,8,37,0,1,45,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Grassland,0,60,0,0,8,0,0,164,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Wetland,0,0,0,0,0,0,0,48,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Forest,0,207,0,0,38,0,0,491,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Water,0,223,0,0,0,0,0,173,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Shrubland,0,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Bareland,0,0,0,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MRT_M_R,Built-up,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRT_M_R,Grassland,0,0,0,0,25,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRT_M_R,Wetland,0,0,0,0,34,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRT_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRT_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRT_M_R,Forest,0,0,0,0,129,0,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MRT_M_R,Water,0,0,0,0,0,0,0,0,123,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Forest,0,207,169,97,38,126,205,0,0,92,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Grassland,113,60,70,76,8,0,163,0,0,129,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Wetland,3,0,9,3,0,5,16,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Bareland,10,0,0,18,0,2,24,0,0,21,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Built-up,10,0,0,0,0,10,26,0,0,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Water,89,223,110,39,0,70,74,0,0,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MRT_M_R,Cropland,5,0,0,9,0,1,14,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRT_M_R,Grassland,83,1,7,82,85,0,0,0,0,154,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRT_M_R,Forest,0,9,2,79,320,0,0,0,0,77,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRT_M_R,Bareland,4,0,0,14,4,0,0,0,0,15,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRT_M_R,Shrubland,3,0,0,1,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRT_M_R,Wetland,29,0,3,19,75,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRT_M_R,Built-up,0,0,0,0,0,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MRT_M_R,Water,21,5,2,2,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Forest,0,4,15,0,32,24,0,0,0,26,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Bareland,11,0,0,0,2,4,0,0,0,3,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Shrubland,16,2,0,0,1,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Water,253,19,6,0,0,3,0,0,0,2,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Built-up,23,0,6,0,2,4,0,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Wetland,158,0,2,0,41,2,0,0,0,2,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Grassland,189,9,49,0,55,0,0,0,0,65,0,27
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MRT_M_R,Cropland,5,0,1,0,0,0,0,0,0,0,0,2
