Dataset,MajorityClass,Wetland,Grassland,Forest,Bareland,Built-up,Shrubland,Water,Cropland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Non_Wetland,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Shrubland,0,10,9,9,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Grassland,16,0,66,59,41,45,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Bareland,1,11,1,0,1,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Water,134,148,54,17,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Forest,199,263,0,92,48,79,83,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Built-up,0,8,1,14,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Cropland,0,26,3,9,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDV_M_R,Wetland,0,32,9,5,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Non_Wetland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Shrubland,0,27,19,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Grassland,3,0,141,22,14,0,1,4,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Bareland,0,22,13,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Built-up,0,51,28,9,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Water,10,64,228,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Forest,0,212,0,37,0,0,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Cropland,0,20,19,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDV_M_R,Wetland,0,25,62,6,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Grassland,37,0,24,144,29,21,8,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Forest,106,296,0,187,19,70,168,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Non_Wetland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Shrubland,3,7,0,9,5,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Bareland,0,3,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Cropland,1,10,1,26,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Wetland,0,25,5,27,0,2,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Built-up,0,17,0,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDV_M_R,Water,68,48,21,135,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,Grassland,24,0,0,0,0,0,6,0,68,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,Forest,129,0,0,0,0,0,64,0,264,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,Shrubland,0,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,Water,113,0,0,0,0,0,0,0,103,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,Wetland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDV_M_R,Bareland,2,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Forest,129,129,0,81,35,149,64,16,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Grassland,24,0,77,17,22,101,6,37,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Bareland,2,5,3,0,6,17,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Built-up,0,20,8,0,0,27,0,6,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Cropland,0,4,7,0,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Water,113,29,88,43,8,54,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDV_M_R,Wetland,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDV_M_R,Grassland,0,0,0,0,0,0,8,0,0,0,2
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDV_M_R,Water,0,0,0,0,0,0,0,0,0,0,83
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDV_M_R,Forest,0,0,0,0,0,0,79,0,0,0,53
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDV_M_R,Wetland,0,0,0,0,0,0,6,0,0,0,16
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,Grassland,12,0,63,0,31,0,34,90,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,Bareland,0,0,1,0,1,0,3,4,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,Built-up,0,0,2,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,Wetland,0,0,24,0,0,0,39,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,Forest,32,0,0,1,38,0,157,33,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,Water,0,0,31,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDV_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,Forest,1,26,0,8,0,0,23,39,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,Shrubland,2,2,7,0,0,0,1,6,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,Bareland,2,2,5,0,0,0,3,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,Wetland,0,2,61,0,0,0,20,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,Grassland,3,0,115,7,0,0,35,49,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,Built-up,0,0,25,2,0,0,1,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDV_M_R,Water,1,0,188,0,0,0,0,0,0,0,0
