Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Built-up,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Non_Wetland,1,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Shrubland,4,3,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Grassland,0,16,24,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Cropland,2,3,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Wetland,12,0,31,21,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Bareland,5,6,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Built-up,5,13,30,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Water,20,63,51,0,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Forest,49,86,102,40,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHV_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Non_Wetland,1,3,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Grassland,0,24,9,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Bareland,3,13,0,12,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Forest,60,127,40,78,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Shrubland,2,3,2,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Cropland,4,4,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Wetland,12,0,12,34,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Built-up,8,14,12,11,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Water,16,71,11,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHV_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Wetland,0,0,0,3,0,0,78,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Shrubland,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Grassland,0,1,0,3,0,0,41,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Bareland,0,2,0,1,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Built-up,0,0,0,0,0,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Forest,0,25,0,12,0,0,192,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Water,0,26,0,0,0,0,76,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Grassland,0,1,6,3,7,9,0,11,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Wetland,16,0,13,3,11,11,0,12,2,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHV_M_R,Bareland,5,2,0,1,4,3,0,12,2,0,0
