Dataset,MajorityClass,Non_Wetland,Water,Wetland,Bareland,Forest,Grassland,Shrubland,Built-up,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEV_M_R,Wetland,51,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEV_M_R,Grassland,8,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEV_M_R,Bareland,3,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEV_M_R,Built-up,8,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEV_M_R,Forest,124,7,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEV_M_R,Water,39,0,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEV_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Grassland,0,4,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Wetland,0,24,0,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Bareland,0,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Built-up,0,13,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Water,0,0,28,20,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Forest,0,62,64,6,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEV_M_R,Permanent_ice_and_snow,0,4,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Grassland,0,2,4,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Wetland,0,21,0,0,4,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Bareland,0,5,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Built-up,0,2,7,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Water,0,0,45,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Forest,0,39,79,0,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEV_M_R,Permanent_ice_and_snow,0,0,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEV_M_R,Wetland,0,3,0,13,7,7,6,10,1,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEV_M_R,Built-up,0,0,0,1,2,4,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEV_M_R,Water,0,0,15,17,14,17,7,13,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEV_M_R,Forest,0,7,15,30,0,29,19,28,7,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEV_M_R,Grassland,0,0,0,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEV_M_R,Bareland,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEV_M_R,Permanent_ice_and_snow,0,0,0,0,1,1,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEV_M_R,Water,0,0,1,6,4,0,0,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEV_M_R,Forest,0,47,4,1,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEV_M_R,Wetland,0,23,0,0,12,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEV_M_R,Bareland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEV_M_R,Permanent_ice_and_snow,0,1,0,0,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEV_M_R,Grassland,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEV_M_R,Wetland,0,7,0,0,50,5,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEV_M_R,Water,0,0,3,4,51,1,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEV_M_R,Forest,0,0,0,0,0,1,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEV_M_R,Grassland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEV_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
