Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Shrubland,337,81,111,82,204,51,90,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Grassland,0,133,83,42,166,41,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Non_Wetland,7,0,0,2,8,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Bareland,211,70,0,64,80,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Built-up,273,131,108,64,214,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Water,640,69,348,0,706,67,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Forest,959,321,326,340,0,85,147,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Cropland,641,0,251,68,417,22,153,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Wetland,287,36,18,128,292,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Non_Water,4,1,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KMA_M_R,Permanent_ice_and_snow,2,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Non_Wetland,3,0,1,3,2,13,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Shrubland,118,0,64,74,50,78,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Grassland,0,0,41,77,113,85,55,171,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Cropland,635,0,198,128,387,191,167,519,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Wetland,117,0,12,193,44,0,11,189,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Bareland,180,0,0,160,72,24,67,97,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Built-up,171,0,136,71,58,26,0,179,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Water,359,0,95,0,212,190,58,539,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Forest,697,0,281,629,0,570,150,1053,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Non_Water,0,0,0,8,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KMA_M_R,Permanent_ice_and_snow,2,0,0,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Non_Wetland,3,0,2,0,2,15,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Grassland,0,67,85,15,82,77,14,194,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Wetland,74,23,63,77,21,0,9,210,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Bareland,181,6,0,20,37,5,19,39,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Water,262,31,570,0,204,420,50,617,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Forest,685,207,633,277,0,695,34,1043,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Built-up,279,8,258,50,31,29,0,170,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Non_Water,1,0,1,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Shrubland,119,20,105,30,47,87,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Cropland,655,0,415,20,268,116,53,386,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMA_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Shrubland,0,0,0,0,0,0,0,0,274,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Wetland,0,0,0,13,0,0,0,0,581,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Grassland,0,0,0,15,0,75,0,0,267,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Forest,0,0,0,165,0,344,0,0,1243,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Bareland,0,0,0,34,0,58,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Water,0,0,0,0,0,426,0,0,465,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Cropland,0,0,0,9,0,8,0,0,347,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Built-up,0,0,0,4,0,30,0,0,73,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Grassland,0,0,0,35,0,0,0,0,0,50,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Bareland,0,0,0,83,0,0,0,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Water,0,0,0,0,0,0,0,0,0,804,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Shrubland,0,0,0,36,0,0,0,0,0,63,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Cropland,0,0,0,23,0,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Wetland,0,0,0,84,0,0,0,0,0,195,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Built-up,0,0,0,45,0,0,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMA_M_R,Forest,0,0,0,196,0,0,0,0,0,408,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Grassland,0,486,10,15,219,75,121,516,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Bareland,4,294,0,34,52,58,219,300,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Built-up,0,210,13,4,55,30,0,240,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Water,11,603,87,0,286,426,135,752,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Forest,53,1079,37,165,0,344,297,1198,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Wetland,0,81,0,13,122,0,12,194,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Cropland,14,0,3,9,246,8,175,557,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Shrubland,1,51,2,0,29,0,22,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KMA_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Grassland,0,495,5,62,157,57,143,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Built-up,0,63,5,7,14,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Forest,0,759,0,510,0,125,465,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Shrubland,0,207,0,95,115,23,125,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Bareland,0,232,0,72,29,1,200,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Wetland,0,79,1,82,68,0,68,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Water,0,176,20,0,107,65,117,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Cropland,0,0,3,15,120,9,167,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KMA_M_R,Permanent_ice_and_snow,0,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Forest,145,218,153,62,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Shrubland,79,112,68,86,294,50,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Wetland,59,10,28,73,250,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Bareland,1,47,0,22,90,0,0,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Water,16,36,156,0,813,99,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Built-up,8,106,94,23,229,8,0,0,0,0,0,11
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Cropland,140,0,159,39,254,22,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KMA_M_R,Grassland,0,113,125,47,216,26,0,0,0,0,0,10
