Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Cropland,Non_Wetland,Shrubland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Grassland,92,43,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Wetland,347,0,17,63,120,248,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Bareland,7,8,1,0,1,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Non_Wetland,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Shrubland,11,3,2,1,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Cropland,12,4,5,3,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Built-up,120,18,0,25,1,137,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Water,410,490,12,86,0,146,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Forest,0,192,40,33,45,268,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NDK_M_R,Permanent_ice_and_snow,3,4,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Wetland,0,0,0,0,49,0,0,526,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Grassland,0,10,0,0,5,0,0,313,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Bareland,0,0,0,0,2,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Shrubland,0,0,0,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Forest,0,233,0,0,79,0,0,768,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Cropland,0,0,0,0,0,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Built-up,0,7,0,0,0,0,0,175,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Water,0,421,0,0,0,0,0,303,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NDK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Wetland,67,0,10,85,294,188,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Grassland,9,141,9,78,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Non_Wetland,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Shrubland,0,7,1,9,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Forest,0,417,20,167,71,303,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Cropland,0,22,1,18,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Built-up,3,78,0,74,8,34,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Water,152,363,29,82,0,56,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Bareland,0,1,6,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NDK_M_R,Permanent_ice_and_snow,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Grassland,43,196,1,23,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Non_Wetland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Bareland,2,49,0,0,6,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Shrubland,2,8,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Wetland,82,0,0,5,247,78,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Forest,0,510,3,47,106,203,0,0,16,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Cropland,2,23,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Built-up,9,101,0,49,27,61,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Water,125,403,2,11,0,83,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NDK_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Wetland,129,0,13,0,59,74,30,0,233,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Grassland,91,11,28,0,5,0,29,0,154,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Forest,0,271,57,0,103,154,40,0,329,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Bareland,15,4,8,0,3,8,0,0,45,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Cropland,12,0,2,0,0,3,0,0,33,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Water,205,557,19,0,0,30,7,0,189,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Built-up,49,7,0,0,0,44,14,0,123,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NDK_M_R,Permanent_ice_and_snow,2,0,0,0,0,2,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,Wetland,0,0,0,0,235,0,0,0,0,198,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,Grassland,0,0,0,0,4,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,Built-up,0,0,0,0,16,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,Forest,0,0,0,0,136,0,0,0,0,64,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,Water,0,0,0,0,0,0,0,0,0,274,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NDK_M_R,Bareland,0,0,0,0,2,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,Wetland,423,0,85,41,317,0,23,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,Bareland,1,0,38,0,1,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,Grassland,134,8,102,0,4,0,17,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,Forest,0,43,199,1,155,0,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,Water,188,164,117,99,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,Cropland,6,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDK_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDK_M_R,Wetland,453,0,0,97,411,138,73,0,0,0,83
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDK_M_R,Forest,0,10,0,56,306,49,90,0,0,0,86
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDK_M_R,Bareland,9,0,0,0,17,1,6,0,0,0,1
