Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Grassland,109,26,4,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Shrubland,13,1,1,0,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Non_Wetland,5,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Wetland,188,1,58,10,184,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Bareland,200,8,54,0,228,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Water,310,0,0,35,159,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Cropland,21,9,0,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Built-up,32,0,4,4,41,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Forest,0,16,79,13,245,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUP_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Shrubland,7,1,1,8,20,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Non_Wetland,0,0,0,1,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MUP_M_R,Grassland,31,8,9,57,0,55,0,0,0,0,0,0
