Dataset,MajorityClass,Grassland,Cropland,Wetland,Forest,Bareland,Built-up,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Shrubland,1,1,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Grassland,0,7,1,11,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Cropland,43,0,4,34,17,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Wetland,3,1,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Lichens_and_Mosses,1,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Bareland,19,9,2,11,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Built-up,8,6,0,7,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Water,4,0,0,6,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Forest,35,13,7,0,9,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPE_M_R,Permanent_ice_and_snow,5,1,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPE_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPE_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPE_M_R,Forest,0,0,12,0,0,0,8,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPE_M_R,Cropland,0,0,0,0,0,0,3,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPE_M_R,Bareland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPE_M_R,Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPE_M_R,Grassland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPE_M_R,Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPE_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPE_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPE_M_R,Forest,0,0,0,0,0,0,5,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,Cropland,36,0,0,27,9,14,3,0,0,31,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,Built-up,5,5,0,4,5,0,0,0,0,4,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,Forest,24,24,12,0,5,11,8,0,0,31,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,Grassland,0,5,0,7,0,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,Bareland,12,12,0,7,0,4,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,Water,2,0,1,4,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPE_M_R,Permanent_ice_and_snow,4,7,0,4,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,Grassland,0,15,0,11,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,Bareland,0,21,0,9,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,Built-up,0,1,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,Water,0,8,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,Forest,0,21,0,0,0,11,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,Cropland,0,0,0,16,2,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPE_M_R,Wetland,0,0,0,2,0,0,0,0,0,0,0,0
