Dataset,MajorityClass,Grassland,Built-up,Forest,Bareland,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Shrubland,270,45,114,26,27,16,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Grassland,0,216,450,109,197,59,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Non_Wetland,11,1,2,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Bareland,480,40,97,0,11,65,37,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Built-up,590,0,378,198,104,34,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Water,1072,93,683,359,72,365,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Forest,1343,184,0,116,198,337,114,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Wetland,677,23,357,91,25,0,168,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Cropland,574,127,350,140,0,23,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVL_M_R,Permanent_ice_and_snow,87,2,35,14,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Non_Wetland,0,1,2,3,0,3,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Shrubland,64,15,20,23,0,3,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Grassland,0,205,177,150,0,57,125,393,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Wetland,113,83,267,228,0,0,391,107,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Bareland,136,78,17,0,0,6,122,46,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Built-up,240,0,71,136,0,42,89,134,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Water,326,244,203,191,0,86,0,272,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Forest,788,316,0,249,0,242,353,856,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Cropland,481,236,89,174,0,21,54,299,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVL_M_R,Permanent_ice_and_snow,23,3,2,13,0,1,7,24,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Wetland,0,0,0,0,0,0,48,0,772,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Grassland,0,0,0,0,0,114,15,0,385,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Forest,0,0,0,0,0,460,52,0,957,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Water,0,0,0,0,0,565,0,0,364,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Shrubland,0,0,0,0,0,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Bareland,0,0,0,0,0,106,14,0,201,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Built-up,0,0,0,0,0,110,12,0,120,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Cropland,0,0,0,0,0,16,0,0,145,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Grassland,0,185,207,221,0,85,32,303,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Forest,838,232,0,361,0,386,175,663,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Non_Wetland,1,0,1,3,0,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Bareland,100,18,6,0,0,77,45,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Built-up,365,0,46,333,0,24,35,67,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Wetland,135,29,276,294,0,0,224,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Water,259,91,221,398,0,226,0,128,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Shrubland,71,11,16,33,0,19,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Cropland,532,177,122,271,0,63,23,243,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Lichens_and_Mosses,0,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVL_M_R,Permanent_ice_and_snow,20,2,4,33,0,20,4,19,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Grassland,0,0,0,0,0,0,141,0,0,85,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Shrubland,0,0,0,0,0,0,21,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Wetland,0,0,0,0,0,0,347,0,0,283,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Bareland,0,0,0,0,0,0,160,0,0,58,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Water,0,0,0,0,0,0,0,0,0,590,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Built-up,0,0,0,0,0,0,74,0,0,51,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Cropland,0,0,0,0,0,0,38,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Forest,0,0,0,0,0,0,234,0,0,219,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,5,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Grassland,0,180,428,137,557,119,15,504,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Wetland,12,21,222,46,125,0,48,151,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Bareland,61,224,97,0,372,137,19,185,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Built-up,165,0,197,39,318,129,14,248,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Forest,480,241,0,185,601,478,60,648,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Water,160,149,490,196,426,603,0,413,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Shrubland,20,7,29,5,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Cropland,162,84,226,20,0,16,0,254,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVL_M_R,Permanent_ice_and_snow,9,12,18,1,56,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Grassland,0,430,516,14,781,64,140,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Bareland,0,220,60,0,118,48,106,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Forest,0,527,0,12,608,176,342,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Shrubland,0,51,110,0,84,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Built-up,0,0,52,15,109,4,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Wetland,0,207,335,26,165,0,330,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Water,0,254,211,32,212,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Cropland,0,112,95,6,0,5,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVL_M_R,Permanent_ice_and_snow,0,11,26,0,13,8,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Wetland,140,0,646,56,91,0,428,0,0,0,0,57
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Forest,202,0,0,145,284,106,620,0,0,0,0,195
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Shrubland,43,0,117,40,58,27,120,0,0,0,0,41
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Built-up,68,0,273,70,192,24,495,0,0,0,0,38
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Bareland,4,0,69,0,49,35,173,0,0,0,0,57
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Water,42,0,348,37,62,178,0,0,0,0,0,36
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Cropland,30,0,122,41,0,36,157,0,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVL_M_R,Grassland,0,0,397,182,244,146,518,0,0,0,0,160
