Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Shrubland,3,1,3,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Grassland,0,7,5,4,0,11,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Cropland,56,0,42,26,13,45,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Wetland,14,0,3,0,1,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Lichens_and_Mosses,1,0,1,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Bareland,35,10,0,19,7,23,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Built-up,13,4,10,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Water,73,9,51,1,0,64,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPA_M_R,Forest,56,15,34,29,7,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Grassland,0,0,0,0,2,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Cropland,0,0,0,0,23,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Wetland,0,0,0,0,6,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Bareland,0,0,0,0,17,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Forest,0,0,0,0,31,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPA_M_R,Water,0,0,0,0,0,0,0,49,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,Grassland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,Cropland,0,0,0,0,10,0,4,0,12,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,Forest,0,0,0,0,12,0,8,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,Wetland,0,0,0,0,0,0,0,0,9,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,Bareland,0,0,0,0,3,0,1,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPA_M_R,Water,0,0,0,0,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,Water,19,26,37,12,0,14,16,0,0,43,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,Cropland,41,0,26,24,10,28,4,0,0,37,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,Wetland,2,4,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,Built-up,8,7,6,0,1,4,0,0,0,7,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,Forest,36,46,23,23,12,0,8,0,0,44,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,Grassland,0,6,0,4,0,6,0,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPA_M_R,Bareland,19,28,0,17,3,15,1,0,0,27,9
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,Grassland,0,23,0,5,2,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPA_M_R,Water,0,78,0,14,0,13,0,0,0,0,0
