Dataset,MajorityClass,Shrubland,Grassland,Wetland,Built-up,Water,Forest,Bareland,Cropland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Non_Wetland,4,8,5,1,7,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Grassland,55,0,149,31,106,36,23,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Forest,316,749,501,93,327,0,157,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Wetland,129,652,0,20,682,172,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Water,13,381,412,25,0,86,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Shrubland,0,25,16,3,11,10,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Cropland,18,74,32,14,27,18,36,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Bareland,2,8,2,1,20,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Built-up,9,93,5,0,2,6,109,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KVV_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Non_Wetland,0,2,20,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Shrubland,0,27,78,2,1,48,1,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Grassland,0,0,435,16,30,189,8,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Wetland,0,215,0,3,359,531,21,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Bareland,0,29,37,16,0,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Built-up,0,75,94,0,12,139,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Water,0,72,689,12,0,371,30,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Forest,0,245,858,76,153,0,23,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Cropland,0,68,127,18,0,83,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Lichens_and_Mosses,0,1,1,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KVV_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Shrubland,0,0,0,0,0,0,0,0,97,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Grassland,0,0,90,0,43,0,0,0,563,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Wetland,0,0,0,0,128,0,0,0,1027,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Forest,0,0,335,0,197,0,0,0,1341,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Water,0,0,358,0,0,0,0,0,354,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Cropland,0,0,0,0,6,0,0,0,153,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Bareland,0,0,7,0,3,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KVV_M_R,Built-up,0,0,12,0,27,0,0,0,98,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Shrubland,0,49,7,1,0,13,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Non_Wetland,4,9,3,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Grassland,29,0,34,10,9,55,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Wetland,169,988,0,7,430,313,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Bareland,2,60,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Built-up,17,135,3,0,1,19,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Forest,305,808,204,79,146,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Water,43,591,186,27,0,147,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Cropland,13,133,8,3,1,14,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KVV_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Grassland,0,0,0,0,87,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Wetland,0,0,0,0,501,0,0,0,0,489,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Shrubland,0,0,0,0,10,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Water,0,0,0,0,0,0,0,0,0,444,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Forest,0,0,0,0,235,0,0,0,0,155,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Cropland,0,0,0,0,2,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Built-up,0,0,0,0,17,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KVV_M_R,Bareland,0,0,0,0,4,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Grassland,225,0,90,47,43,169,33,228,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Wetland,232,26,0,18,128,278,71,220,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Forest,403,125,335,110,197,0,69,395,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Bareland,19,3,7,43,3,22,0,83,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Built-up,67,8,12,0,27,52,0,89,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Water,95,0,358,35,0,237,28,106,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Shrubland,0,5,0,0,0,2,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Cropland,43,8,0,11,6,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KVV_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Grassland,0,0,114,67,40,114,1,86,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Wetland,0,0,0,62,229,306,8,67,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Shrubland,0,0,5,8,0,8,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Built-up,0,0,0,0,3,9,1,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Bareland,0,0,3,42,3,16,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Water,0,0,340,62,0,170,2,22,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Forest,0,0,318,238,186,0,0,64,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Cropland,0,0,1,29,1,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KVV_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Forest,0,62,25,0,57,0,26,64,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Wetland,0,365,0,0,324,821,50,96,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Water,0,133,139,0,0,453,16,20,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Shrubland,0,5,1,0,0,42,6,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Built-up,0,16,0,0,13,80,18,44,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Cropland,0,7,0,0,0,11,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Grassland,0,0,9,0,16,162,28,86,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KVV_M_R,Bareland,0,0,0,0,0,4,0,1,0,0,0,2
