Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Wetland,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Shrubland,5,3,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Grassland,0,3,0,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Bareland,54,0,26,26,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Cropland,7,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Wetland,56,21,23,41,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Built-up,10,9,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Water,98,60,0,164,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Forest,115,34,67,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNK_M_R,Permanent_ice_and_snow,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,Shrubland,3,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,Forest,131,9,51,0,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,Grassland,0,0,0,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,Wetland,9,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NNK_M_R,Water,21,0,0,24,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Grassland,0,0,0,9,1,1,22,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Forest,57,0,49,0,78,6,123,30,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Bareland,25,0,15,34,12,10,65,23,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Water,25,0,0,90,63,0,74,27,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Wetland,5,1,1,12,0,4,15,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Built-up,4,0,0,5,0,0,9,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Cropland,0,0,0,1,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,Shrubland,1,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,Grassland,0,1,0,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,Wetland,1,0,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,Forest,28,24,41,0,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NNK_M_R,Water,0,0,0,64,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Shrubland,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Grassland,0,0,0,0,1,0,0,0,22,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Forest,0,0,49,0,78,0,0,0,137,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Wetland,0,0,1,0,0,0,0,0,41,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Water,0,0,0,0,63,0,0,0,57,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Bareland,0,0,15,0,12,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Cropland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Shrubland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Grassland,0,0,9,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Wetland,0,0,36,0,0,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Water,0,0,0,0,0,0,0,0,0,63,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Forest,0,0,106,0,0,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Bareland,0,0,48,0,0,0,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Built-up,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNK_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,Water,0,45,0,34,85,23,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,Grassland,0,2,4,11,16,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,Forest,0,10,100,0,47,18,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,Wetland,0,6,14,10,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,Bareland,0,0,12,14,33,19,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNK_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,Wetland,2,20,18,36,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,Forest,4,23,38,0,0,0,0,8,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,Grassland,0,10,5,23,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,Water,0,66,0,148,4,0,0,3,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,Built-up,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNK_M_R,Bareland,0,0,2,1,0,0,0,0,0,0,0
