Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Shrubland,227,35,45,33,122,42,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Grassland,0,66,41,14,140,24,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Non_Wetland,6,0,0,0,5,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Bareland,127,18,0,42,49,13,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Water,360,1,200,0,333,0,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Forest,742,139,154,290,0,69,87,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Cropland,480,0,128,33,316,103,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Wetland,31,2,4,8,12,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Built-up,116,24,35,2,113,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Non_Water,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBH_M_R,Permanent_ice_and_snow,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Non_Wetland,2,0,0,1,1,0,7,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Shrubland,73,0,35,27,21,0,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Grassland,0,0,55,22,70,4,78,159,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Cropland,448,0,141,29,145,19,76,406,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Wetland,4,0,1,29,1,0,0,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Bareland,131,0,0,61,20,3,6,66,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Built-up,79,0,69,9,2,0,6,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Water,162,0,36,0,142,1,38,442,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Forest,455,0,250,450,0,36,349,951,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Non_Water,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBH_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Wetland,0,0,0,8,0,0,0,0,97,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Grassland,0,0,0,5,0,0,1,0,138,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Shrubland,0,0,0,0,0,0,0,0,100,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Bareland,0,0,0,12,0,0,25,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Forest,0,0,0,90,0,0,114,0,780,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Cropland,0,0,0,2,0,0,0,0,151,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Water,0,0,0,0,0,0,205,0,188,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBH_M_R,Built-up,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Grassland,0,63,111,20,37,8,59,129,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBH_M_R,Non_Wetland,0,0,4,0,0,0,8,3,0,0,0,0
