Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
