Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Shrubland,3,3,1,1,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Grassland,0,8,2,2,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Wetland,21,8,0,20,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Built-up,12,14,0,5,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Water,36,35,2,0,55,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Forest,56,45,12,23,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Bareland,16,0,5,5,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Cropland,11,10,4,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NZF_M_R,Permanent_ice_and_snow,2,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,Wetland,0,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,Forest,0,0,0,9,0,22,32,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,Built-up,0,0,0,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,Water,0,0,0,0,0,31,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,Grassland,0,0,0,1,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NZF_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Grassland,0,0,0,6,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Wetland,0,0,0,20,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Water,0,0,0,0,0,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Forest,0,0,0,55,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Built-up,0,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Bareland,0,0,0,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NZF_M_R,Cropland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Water,5,10,9,0,47,31,0,0,46,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Wetland,0,0,0,0,8,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Bareland,8,0,10,0,25,3,0,0,25,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Built-up,8,1,0,0,9,1,0,0,14,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Forest,16,11,20,9,0,22,0,0,68,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Grassland,0,0,0,1,8,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Cropland,5,0,2,0,7,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NZF_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Water,0,16,23,0,16,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Forest,0,12,35,41,0,20,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Wetland,0,8,3,23,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NZF_M_R,Grassland,0,0,8,0,11,3,0,0,0,1,0
