Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Shrubland,68,89,59,8,2,4,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Non_Wetland,3,8,17,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Grassland,0,436,417,104,62,47,111,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Bareland,45,57,12,7,0,5,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Forest,613,0,760,116,73,149,409,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Cropland,502,546,209,0,112,111,122,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Wetland,103,221,0,0,1,1,146,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Built-up,108,187,20,40,36,0,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Water,370,664,763,17,71,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXT_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Non_Wetland,7,5,7,0,0,0,3,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Shrubland,51,21,23,0,14,1,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Grassland,0,175,215,0,47,16,61,115,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Cropland,739,285,181,0,131,82,65,107,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Wetland,539,46,0,0,5,8,288,61,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Bareland,75,14,5,0,0,0,26,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Built-up,154,37,20,0,46,0,5,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Water,830,228,258,0,36,41,0,41,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Forest,1163,0,637,0,222,98,430,477,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXT_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Wetland,0,0,0,0,0,0,72,0,742,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Shrubland,0,0,0,0,0,0,0,0,101,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Grassland,0,0,91,0,0,0,92,0,851,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Forest,0,0,228,0,0,0,231,0,1908,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Water,0,0,307,0,0,0,0,0,652,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Cropland,0,0,25,0,0,0,47,0,511,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Bareland,0,0,1,0,0,0,7,0,18,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXT_M_R,Built-up,0,0,0,0,0,0,15,0,58,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Grassland,0,108,282,64,172,23,123,120,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Non_Wetland,9,3,8,1,1,0,2,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Wetland,355,26,0,0,84,0,300,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Forest,1116,0,806,112,665,54,443,468,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Water,628,230,425,0,474,21,0,30,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Shrubland,47,11,27,6,18,1,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Cropland,596,138,185,0,428,86,121,115,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Bareland,37,6,3,0,0,0,8,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXT_M_R,Built-up,137,36,19,0,166,0,4,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Grassland,0,0,0,0,0,0,203,0,0,52,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Wetland,0,0,0,0,0,0,276,0,0,165,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Shrubland,0,0,0,0,0,0,2,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Cropland,0,0,0,0,0,0,88,0,0,48,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Water,0,0,0,0,0,0,0,0,0,463,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Bareland,0,0,0,0,0,0,7,0,0,8,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Forest,0,0,0,0,0,0,438,0,0,224,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXT_M_R,Built-up,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Grassland,0,532,91,480,67,106,92,404,0,0,13
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Wetland,29,306,0,97,41,10,72,113,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Forest,401,0,228,742,187,214,231,605,0,0,8
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Cropland,100,428,25,0,28,111,47,282,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Bareland,5,31,1,89,0,34,7,43,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Built-up,18,76,0,137,4,0,15,50,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Water,69,725,307,324,169,60,0,138,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXT_M_R,Shrubland,9,8,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Grassland,0,183,69,783,1,174,48,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Forest,0,0,173,905,0,458,425,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Shrubland,0,21,0,43,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Wetland,0,133,0,211,0,10,109,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Bareland,0,7,1,61,0,36,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Water,0,189,148,536,0,63,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Built-up,0,3,0,37,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXT_M_R,Cropland,0,52,0,0,0,141,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Wetland,185,523,0,94,18,0,149,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Forest,168,0,31,237,58,0,145,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Shrubland,21,60,0,20,8,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Cropland,91,171,9,0,32,0,40,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Water,140,735,154,150,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Bareland,4,23,0,31,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Built-up,4,83,0,87,7,0,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXT_M_R,Grassland,0,312,35,201,60,0,96,0,0,0,0
