Dataset,MajorityClass,Forest,Wetland,Bareland,Water,Grassland,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Grassland,22,22,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Shrubland,1,1,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Wetland,11,0,3,41,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Forest,0,260,50,84,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Built-up,1,4,20,11,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Water,115,262,24,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Cropland,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCJ_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Shrubland,7,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Grassland,15,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Wetland,199,0,42,59,52,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Water,539,51,113,0,131,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Forest,0,3,4,61,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Built-up,28,0,2,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Cropland,8,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Bareland,1,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Grassland,24,0,0,0,0,0,59,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Forest,0,139,0,65,33,6,218,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCJ_M_R,Wetland,20,0,0,4,0,0,27,0,0,0,0
