Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Grassland,239,52,57,20,55,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Non_Wetland,2,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Shrubland,24,1,4,3,2,0,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Cropland,76,0,21,0,9,0,115,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Bareland,216,9,77,10,0,71,219,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Built-up,73,15,0,0,22,0,107,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Water,391,2,16,69,135,0,348,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Forest,0,2,58,25,26,52,343,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Wetland,71,0,0,0,16,26,56,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MET_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Non_Wetland,0,0,0,6,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Shrubland,11,0,3,13,14,3,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Grassland,100,0,41,87,171,16,0,29,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Cropland,28,0,22,4,36,2,122,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Bareland,23,0,10,7,0,21,107,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Built-up,26,0,0,11,77,2,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Water,119,0,6,168,319,0,399,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Forest,0,0,37,268,392,70,457,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Wetland,11,0,0,0,60,13,56,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MET_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Grassland,42,43,45,3,386,36,0,80,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Non_Wetland,0,0,0,0,1,0,2,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Forest,0,13,24,5,587,108,394,164,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Water,35,2,15,14,654,0,94,50,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Shrubland,3,0,2,0,22,5,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Bareland,2,6,11,0,0,3,26,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Built-up,1,5,0,0,135,1,45,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MET_M_R,Cropland,1,0,9,0,108,0,82,1,0,0,0
