Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Forest,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Shrubland,2,2,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Grassland,0,9,1,0,13,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Cropland,12,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Wetland,52,0,1,0,29,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Bareland,3,0,0,0,4,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Built-up,5,0,1,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Water,43,25,8,0,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NBD_M_R,Forest,48,16,7,1,0,20,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,Grassland,0,9,0,0,0,1,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,Forest,0,29,0,0,0,11,0,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,Wetland,0,0,0,0,0,2,0,35,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,Water,0,47,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NBD_M_R,Bareland,0,12,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,Grassland,0,0,0,0,0,15,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,Wetland,0,0,0,0,0,58,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,Water,0,0,0,0,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,Forest,0,0,0,0,0,34,0,0,23,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,Cropland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NBD_M_R,Bareland,0,0,0,0,0,10,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,Cropland,4,0,0,0,8,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,Wetland,18,0,0,0,17,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,Built-up,2,1,1,0,1,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,Water,23,47,5,3,25,0,4,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,Forest,35,29,7,5,0,11,8,0,0,31,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,Grassland,0,9,0,1,12,1,3,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NBD_M_R,Bareland,3,12,0,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,Grassland,0,17,0,6,12,10,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,Wetland,0,0,6,3,27,19,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,Forest,0,22,0,7,0,22,9,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,Water,0,18,19,0,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NBD_M_R,Bareland,0,0,0,0,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,Wetland,25,0,10,0,39,24,12,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,Water,16,3,21,0,48,0,2,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,Forest,10,2,2,0,0,11,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,Cropland,1,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,Grassland,0,2,3,0,10,3,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NBD_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,0
