Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Wetland,Shrubland,Built-up,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Shrubland,18,14,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Grassland,0,39,9,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Wetland,111,50,6,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Forest,204,0,40,43,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Water,88,159,30,0,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Built-up,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Cropland,6,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R,Bareland,3,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Shrubland,7,7,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Grassland,0,35,10,5,24,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Forest,119,0,17,95,177,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Wetland,33,54,1,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Water,16,89,0,0,121,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Built-up,1,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Cropland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Shrubland,15,3,0,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Forest,267,0,0,93,158,34,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Grassland,0,13,0,13,25,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,Wetland,36,0,0,79,0,0,0,0,0,0,0
