Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Grassland,187,35,15,26,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Non_Wetland,11,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Bareland,64,8,0,14,8,140,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Wetland,664,0,33,30,148,919,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Water,695,448,100,8,0,978,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Shrubland,22,0,4,8,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Built-up,147,6,22,0,6,137,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Forest,0,82,33,93,68,614,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Cropland,47,1,2,4,0,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MQA_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Non_Wetland,2,10,3,0,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Grassland,77,344,114,3,121,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Wetland,55,0,77,3,459,257,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Bareland,15,83,0,2,41,61,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Water,107,850,101,24,0,271,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Forest,0,835,215,31,419,453,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Shrubland,6,21,6,2,9,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Cropland,6,34,8,0,13,30,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQA_M_R,Built-up,14,83,83,0,43,66,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Wetland,0,0,0,0,68,0,0,1101,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Grassland,0,59,0,0,5,0,0,683,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Forest,0,219,0,0,82,0,0,1500,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Water,0,306,0,0,0,0,0,1165,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Shrubland,0,0,0,0,0,0,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Bareland,0,2,0,0,3,0,0,145,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Cropland,0,2,0,0,0,0,0,51,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQA_M_R,Built-up,0,8,0,0,2,0,0,146,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Wetland,24,0,140,4,424,358,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Non_Wetland,0,12,2,0,4,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Forest,0,799,336,41,292,713,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Grassland,5,264,151,1,76,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Water,22,819,233,6,0,309,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Shrubland,0,14,18,2,7,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Bareland,0,25,0,4,16,36,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Cropland,0,17,40,0,2,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Lichens_and_Mosses,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQA_M_R,Built-up,1,65,124,0,9,98,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Grassland,0,0,0,0,272,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Forest,0,0,0,0,462,0,0,0,114,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Wetland,0,0,0,0,702,0,0,0,254,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Bareland,0,0,0,0,50,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Shrubland,0,0,0,0,6,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Built-up,0,0,0,0,57,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Water,0,0,0,0,0,0,0,0,289,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQA_M_R,Cropland,0,0,0,0,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,Forest,0,219,325,210,82,195,402,0,0,48,15,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,Grassland,147,59,181,109,5,0,340,0,0,27,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,Wetland,167,0,253,93,68,118,232,0,0,16,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,Bareland,12,2,0,56,3,0,88,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,Built-up,25,8,23,0,2,6,98,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,Water,279,306,375,228,0,225,347,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQA_M_R,Cropland,8,2,10,7,0,1,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,Grassland,77,164,6,134,74,0,0,0,0,149,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,Forest,0,302,5,241,340,0,0,0,0,89,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,Bareland,5,36,0,45,24,0,0,0,0,24,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,Wetland,217,0,9,106,179,0,0,0,0,92,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,Water,177,479,54,105,0,0,0,0,0,47,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,Built-up,0,4,3,0,4,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQA_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
