Dataset,MajorityClass,Forest,Cropland,Built-up,Bareland,Wetland,Grassland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Grassland,94,40,5,11,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Non_Wetland,9,4,1,3,0,11,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Cropland,106,0,30,101,0,194,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Wetland,355,35,6,34,0,519,180,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Built-up,19,17,0,31,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Water,373,15,1,50,173,376,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Shrubland,18,8,7,7,2,25,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Bareland,6,6,4,0,0,42,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Forest,0,89,38,39,33,352,72,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBM_M_R,Permanent_ice_and_snow,1,0,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Non_Wetland,3,0,0,2,17,2,1,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Grassland,34,0,0,27,225,0,37,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Cropland,69,0,0,50,133,135,5,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Built-up,11,0,0,41,33,10,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBM_M_R,Water,23,0,0,4,544,14,0,0,0,0,0
