Dataset,MajorityClass,Forest,Bareland,Built-up,Cropland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Grassland,163,37,54,3,17,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Non_Wetland,4,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Cropland,34,2,10,0,2,0,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Wetland,66,1,0,0,32,0,87,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Bareland,83,0,18,0,44,0,223,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Built-up,32,16,0,0,1,0,82,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Water,338,75,0,0,0,24,359,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Shrubland,11,3,3,0,0,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LPR_M_R,Forest,0,21,34,0,147,10,323,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Non_Wetland,2,0,0,0,0,7,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Grassland,68,112,27,0,43,88,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Cropland,9,8,6,0,3,8,52,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Bareland,9,0,10,0,9,39,71,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Built-up,4,41,0,0,0,5,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Water,127,121,0,0,0,274,215,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Forest,0,255,12,0,194,429,427,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Shrubland,6,3,1,0,2,4,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Wetland,8,14,0,0,21,0,27,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LPR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Non_Wetland,0,3,0,1,0,5,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Bareland,0,0,1,1,26,7,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Built-up,0,48,0,5,0,2,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Forest,0,353,9,9,246,166,550,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Grassland,17,189,26,28,65,83,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Water,78,262,0,11,0,14,243,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Shrubland,0,13,0,3,2,7,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Cropland,1,42,5,0,0,6,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Wetland,3,38,0,0,38,0,79,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LPR_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Grassland,0,0,0,0,5,15,0,0,199,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Wetland,0,0,0,0,1,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Forest,0,0,0,0,51,162,0,0,544,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Shrubland,0,0,0,0,0,0,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Water,0,0,0,0,0,200,0,0,221,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Cropland,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Bareland,0,0,0,0,20,28,0,0,74,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LPR_M_R,Built-up,0,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Grassland,0,0,0,0,74,0,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Forest,0,0,0,0,176,0,0,0,0,143,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Bareland,0,0,0,0,95,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Shrubland,0,0,0,0,2,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Water,0,0,0,0,0,0,0,0,0,198,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Cropland,0,0,0,0,3,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Wetland,0,0,0,0,46,0,0,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPR_M_R,Built-up,0,0,0,0,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPR_M_R,Forest,0,193,81,116,51,162,211,233,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPR_M_R,Grassland,108,66,80,136,5,15,0,173,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPR_M_R,Bareland,30,0,78,52,20,28,32,97,0,0,1,0
