Dataset,MajorityClass,Grassland,Cropland,Forest,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Shrubland,129,27,90,16,6,12,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Grassland,0,141,175,80,11,54,42,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Non_Wetland,9,2,8,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Bareland,91,16,37,34,5,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Water,483,65,329,0,197,145,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Forest,704,195,0,333,134,131,116,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Cropland,470,0,323,90,10,148,92,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Wetland,121,4,89,123,0,15,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Built-up,95,34,138,3,0,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZU_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Non_Wetland,4,0,2,4,14,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Shrubland,62,0,19,16,40,21,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Grassland,0,0,88,73,169,45,12,117,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Cropland,634,0,209,76,208,157,53,262,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Wetland,46,0,30,140,0,12,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Bareland,98,0,12,94,34,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Water,380,0,137,0,369,86,0,122,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Forest,635,0,0,426,707,239,23,558,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Built-up,149,0,21,3,44,56,0,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZU_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Grassland,0,41,56,26,247,136,5,84,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Non_Wetland,4,0,0,1,19,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Forest,561,58,0,368,992,558,15,444,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Water,108,0,60,0,889,335,0,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Shrubland,49,5,15,12,55,48,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Bareland,26,0,1,24,10,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Cropland,520,0,109,55,256,374,41,142,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Built-up,118,2,16,6,49,153,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Wetland,8,0,6,25,0,18,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZU_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Grassland,0,0,0,29,19,0,0,0,401,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Wetland,0,0,0,10,0,0,0,0,478,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Water,0,0,0,0,179,0,0,0,802,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Forest,0,0,0,107,118,0,0,0,1533,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Bareland,0,0,0,12,2,0,0,0,50,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Shrubland,0,0,0,0,0,0,0,0,99,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Cropland,0,0,0,9,3,0,0,0,435,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZU_M_R,Built-up,0,0,0,0,0,0,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Grassland,0,422,218,29,19,19,134,515,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Wetland,1,50,119,10,0,16,10,139,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Bareland,4,164,23,12,2,0,92,92,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Forest,43,754,0,107,118,59,287,892,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Water,12,408,330,0,179,78,77,518,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Built-up,0,112,20,0,0,0,0,72,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Shrubland,0,11,7,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Cropland,6,0,174,9,3,6,136,421,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KZU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KZU_M_R,Shrubland,0,0,0,4,0,0,0,0,0,0,5,0
